Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,591,64.0%,104.44,-2,-0.02127,0.46959,0,20.9,16.447,12.562,39.85,15.85
1,591,64.0%,98.99,-5,-0.41258,-0.41403,0,7.114,14.004,8.699,26.5,26.5
2,591,64.0%,101.46,-3,-0.14408,-0.23273,0,7.697,0.834,9.651,30.2,23.65
3,591,64.0%,100.92,3,0.02145,-0.7782,0,8.201,1.521,11.326,39.8,26.5
4,591,64.04%,98.64,-2,1.17382,-0.13193,-0.34832,16.863,3.4,8.4,52.8,18.45
5,591,64.04%,98.49,0,-0.37152,-0.65698,0,1.367,0.593,5.871,26.75,10.45
6,591,64.04%,100.33,-1,0.03454,-0.73712,0,15.186,1.05,13.193,40.7,19.8
7,591,64.04%,94.09,-40,-0.84796,-0.53646,0,4.243,1.134,9.506,35.85,32.95
8,591,64.08%,97.22,-32,-0.39191,-0.85396,-1.98113,1.447,0.54,7.42,29.4,25.3
9,591,64.08%,96.98,-23,-0.23065,0.62439,0,1.621,6.081,7.742,30.0,23.3
10,591,64.08%,97.88,-27,-0.14242,0.05415,0,1.977,0.544,2.421,29.6,15.75
11,591,64.08%,95.65,-38,-0.51634,-1.07546,0,2.963,0.988,10.916,31.75,20.3
12,591,64.08%,93.71,-33,-0.86206,-0.39155,-1.32299,14.835,0.577,9.087,28.35,15.75
13,591,64.12%,96.8,-25,0.3817,-0.79118,0,2.541,1.195,8.398,28.45,23.9
14,591,64.12%,93.23,-18,-0.75398,1.15528,0,1.395,0.707,6.013,29.8,21.4
15,591,64.12%,97.44,-27,0.4387,-0.50936,0,8.446,0.548,10.553,28.65,16.15
16,591,64.12%,95.99,-42,0.26506,-0.47804,7.7363,2.629,0.707,8.749,26.75,17.3
17,591,64.16%,97.28,-56,-0.41464,-0.67634,0,0.878,1.029,4.907,23.45,17.4
18,591,64.16%,93.15,-45,-0.32539,0.10365,0,3.17,2.597,11.243,31.65,18.4
19,591,64.16%,96.43,-45,-0.22816,-0.26366,0,3.62,0.744,2.872,28.05,11.6
20,591,64.16%,93.98,-65,-0.72825,-1.5407,0,5.034,0.839,9.867,23.55,12.85
21,591,64.2%,84.45,-57,-0.85804,-0.77743,1.84343,5.07,0.577,4.403,53.35,14.8
22,591,64.2%,87.3,-42,0.06702,-0.57436,0,0.688,0.707,4.294,42.15,10.2
23,591,64.2%,93.26,-37,1.52824,1.51237,0,1.941,4.654,6.859,38.1,19.15
24,591,64.2%,86.23,-28,-0.87644,-0.78591,0,0.543,0.656,4.691,37.6,21.6
25,591,64.24%,83.15,-58,-0.43599,-0.74987,-1.76333,0.756,1.408,1.743,45.65,13.7
26,591,64.24%,91.85,-31,-0.05008,-0.89969,0,1.021,1.206,7.805,31.5,10.2
27,591,64.24%,85.81,-79,-0.69026,-0.63142,0,10.95,0.577,8.045,33.4,12.8
28,591,64.24%,89.05,-52,-0.58415,-0.8968,0,1.982,0.478,4.111,27.9,22.3
29,591,64.24%,68.05,-73,-0.72451,-0.82981,-1.79836,1.897,1.14,3.923,44.25,11.15
30,591,64.28%,74.62,-79,-0.97478,-0.49244,0,0.8,0.707,1.875,47.4,17.3
31,591,64.28%,83.61,-66,-1.05625,-0.97425,0,4.094,0.466,2.311,44.05,22.95
32,591,64.28%,91.72,-63,-0.56411,-0.5651,0,0.737,0.577,3.517,26.15,9.9
33,591,64.28%,82.9,-87,-1.01941,-0.32065,1.49916,0.659,0.535,6.553,43.45,24.65
34,591,64.32%,84.42,-84,-1.06033,-0.13056,0,0.937,0.577,1.171,35.05,20.55
35,591,64.32%,80.25,-82,-0.5479,-0.83112,0,0.606,0.837,2.634,44.05,17.9
36,591,64.32%,64.66,-118,-0.75457,-0.75325,0,0.479,0.577,2.425,39.7,16.5
