Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,642,64.0%,101.53,-7,0.72585,-0.62092,0,8.002,6.85,11.226,44.25,20.1
1,642,64.0%,99.81,4,-0.03807,-0.78684,0,6.781,6.923,12.278,34.65,25.8
2,642,64.0%,103.16,6,0.35584,-0.98888,0,18.662,7.368,11.56,40.2,16.45
3,642,64.0%,101.42,-5,0.31186,-0.62679,4.60476,8.715,1.261,13.265,41.8,22.7
4,642,64.04%,93.85,-18,0.11405,-0.48028,0,5.269,1.217,10.37,47.6,15.1
5,642,64.04%,98.07,-7,-0.94749,-0.25776,0,11.863,0.5,5.875,27.4,25.95
6,642,64.04%,97.7,-8,-0.89269,-0.25973,0,26.275,2.048,13.737,27.05,23.05
7,642,64.04%,89.65,-14,-0.86082,0.14485,-0.00132,19.773,18.068,10.829,44.3,21.65
8,642,64.08%,89.67,-11,1.52982,-0.58025,0,3.089,2.621,4.96,42.7,34.0
9,642,64.08%,89.66,-17,-0.40842,0.55606,0,10.759,8.19,6.319,37.15,20.6
10,642,64.08%,91.55,-12,-0.79829,-0.86958,0,13.172,40.46,8.332,39.95,28.7
11,642,64.08%,94.85,-12,-0.43702,-0.63049,-1.38865,11.932,5.708,10.198,30.4,20.4
12,642,64.12%,97.17,-21,-0.86577,-0.75502,0,0.834,0.529,7.821,24.35,21.45
13,642,64.12%,94.33,-33,-0.93618,-0.50609,0,5.811,0.486,8.879,25.15,20.95
14,642,64.12%,98.56,-18,-0.78413,0.5966,0,1.198,0.578,7.005,27.75,19.15
15,642,64.12%,98.01,-34,-0.60101,0.01723,-1.91008,2.454,0.577,7.31,24.45,20.65
16,642,64.16%,93.84,-29,-0.85609,-0.45046,0,3.15,0.565,3.306,24.55,23.95
17,642,64.16%,95.09,-23,-0.56133,-0.87181,0,3.693,1.346,2.909,27.25,20.2
18,642,64.16%,94.58,-27,-1.05902,0.36802,0,10.575,0.516,8.954,26.65,21.25
19,642,64.2%,96.88,-30,-0.7226,-0.42526,-1.99209,0.636,0.707,7.436,21.1,11.55
20,642,64.2%,90.67,-33,-0.25884,-0.41347,0,1.503,1.303,4.587,32.45,18.55
21,642,64.2%,87.94,-23,-1.00472,-0.91228,0,2.523,0.689,9.606,38.75,22.15
22,642,64.2%,96.36,-46,-0.51457,-0.87538,0,7.306,0.548,8.171,26.55,20.65
23,642,64.24%,94.23,-10,-1.0528,1.88389,-1.68666,0.594,0.707,7.702,24.05,24.05
24,642,64.24%,84.58,-99,-0.71173,0.22822,0,3.484,0.603,4.866,41.0,20.55
25,642,64.24%,86.88,-105,-0.58935,-0.60802,0,0.529,0.821,4.256,37.3,16.4
26,642,64.24%,87.12,-74,-1.07971,-0.50717,0,0.598,0.433,6.784,39.25,27.75
27,642,64.28%,90.26,-70,0.29933,0.02041,-0.78052,1.998,0.535,9.151,40.65,29.6
28,642,64.28%,80.84,-65,-1.32257,-0.74816,0,0.72,nan,2.914,41.45,14.25
29,642,64.28%,79.61,-109,-1.1082,-1.18263,0,15.644,1.695,8.849,33.8,15.6
30,642,64.28%,89.01,-66,-0.61466,0.06069,0,0.878,0.577,8.768,29.5,27.9
31,642,64.32%,84.58,-63,-0.98383,-0.36725,1.75413,16.326,0.548,7.756,45.95,9.8
32,642,64.32%,78.35,-79,-1.19689,-0.9767,0,0.729,0.507,1.573,44.75,35.6
33,642,64.32%,82.76,-64,-0.80259,-1.2158,0,1.246,0.555,4.514,34.05,28.4
34,642,64.32%,80.83,-71,-1.30087,-0.72799,0,6.081,0.471,11.049,27.35,12.95
35,642,64.36%,86.66,-50,-0.99355,-1.17185,16.58725,1.004,0.548,2.524,46.55,19.75
36,642,64.36%,81.12,-106,-0.88481,-1.31329,0,1.129,0.548,8.883,29.2,21.9
37,642,64.36%,86.37,-155,-0.93938,-1.4565,0,8.122,nan,3.423,34.1,11.4
38,642,64.36%,87.22,-143,-0.6217,0.01829,12.06071,0.5,0.577,5.527,23.15,8.15
39,642,64.4%,89.68,-110,-0.80167,-1.35716,0,0.524,0.562,13.041,28.15,14.3
40,642,64.4%,86.18,-180,-0.60551,-1.30841,0,0.714,0.577,5.007,24.2,8.25
41,642,64.4%,62.88,-196,-1.51518,-1.56323,0,0.904,0.548,9.058,56.85,13.75
42,642,64.4%,55.74,-201,-0.68987,-1.04219,1.27359,0.714,1.076,3.035,35.8,15.15
43,642,64.44%,56.49,-227,0.11185,-0.73796,0,0.753,0.707,4.441,55.6,15.3
44,642,64.44%,85.07,-201,-1.03676,1.20918,0,0.942,0.577,2.248,22.7,19.2
45,642,64.44%,85.03,-172,-0.92967,-0.59815,0,0.585,nan,2.075,22.5,21.35
46,642,64.44%,84.37,-199,0.33512,-0.01251,-0.9365,0.588,0.548,4.193,28.95,21.5
47,642,64.48%,81.55,-165,-0.21264,-0.80196,0,0.578,0.451,2.624,34.65,20.75
48,642,64.48%,79.5,-157,-0.97584,-1.0161,0,1.356,0.535,7.369,35.3,25.3
49,642,64.48%,73.7,-192,-1.32742,-0.95189,0,0.523,0.449,0.843,48.3,19.1
50,642,64.48%,78.19,-207,-0.76648,0.71908,-1.74635,1.014,0.577,3.239,27.65,11.25
51,642,64.52%,81.31,-191,-1.11218,-0.24341,0,0.753,nan,3.121,28.3,10.3
52,642,64.52%,87.95,-269,-0.93453,-0.17923,0,0.734,nan,6.414,20.1,9.65
53,642,64.52%,83.55,-245,-0.27751,-0.78199,0,0.732,0.732,0.618,28.75,13.7
54,642,64.52%,78.23,-273,-1.06501,-0.30158,-2.00152,0.618,0.548,3.32,40.5,23.4
55,642,64.56%,86.2,-268,-1.11516,-1.5977,0,0.862,0.5,4.534,21.25,12.0
56,642,64.56%,81.6,-270,-1.24428,-1.17256,0,1.466,nan,8.151,21.65,19.0
57,642,64.56%,64.8,-252,-1.56476,-1.02845,0,0.74,1.506,5.572,56.0,9.5
58,642,64.6%,50.29,-301,-1.41502,-0.41366,-1.87501,0.869,nan,2.687,34.9,7.3
59,642,64.6%,35.73,-289,-0.6079,-0.03867,0,1.714,nan,2.275,29.95,3.05
60,642,64.6%,30.55,-314,-0.10668,-0.41085,0,2.419,nan,1.224,19.95,7.65
61,642,64.6%,32.38,-327,-0.61335,-0.97259,0,1.568,nan,1.47,26.25,10.9
62,642,64.64%,38.79,-290,0.28782,0.06544,-1.28569,0.528,0.577,3.235,27.45,15.85
63,642,64.64%,52.09,-256,-0.98582,-0.88805,0,3.047,nan,1.735,36.65,6.0
64,642,64.64%,66.74,-228,-0.63219,0.11236,0,0.514,0.707,2.572,37.6,13.4
65,642,64.64%,83.21,-219,-0.63966,-1.21265,0,1.343,nan,0.972,24.2,15.85
66,642,64.68%,68.57,-218,2.61166,-0.03434,0.27613,0.816,0.707,0.704,35.5,13.4
67,642,64.68%,83.37,-194,-0.89761,-0.66934,0,0.932,0.548,2.414,26.85,11.7
68,642,64.68%,79.17,-319,-1.05165,-1.63466,0,0.532,0.707,5.204,33.9,17.6
69,642,64.68%,80.73,-337,-0.75116,1.53634,0,0.55,0.707,1.292,24.7,22.7
70,642,64.72%,70.38,-366,-0.98374,-0.87459,5.85795,0.614,0.718,0.93,27.55,15.75
71,642,64.72%,86.29,-290,0.71014,-0.7115,0,0.515,nan,0.604,21.45,18.25
72,642,64.72%,82.04,-287,-0.837,0.13966,0,0.516,0.707,0.579,26.7,9.1
73,642,64.72%,83.22,-339,-1.18518,0.38932,75.86148,1.784,2.756,2.715,20.9,14.2
74,642,64.76%,78.64,-367,-0.7234,0.15272,0,0.883,0.707,0.835,27.0,11.5
75,642,64.76%,85.82,-379,0.05437,-0.96336,0,0.5,nan,10.618,23.3,11.85
76,642,64.76%,80.3,-365,-1.18547,-0.97604,0,0.628,0.548,0.708,25.4,20.7
77,642,64.76%,82.39,-425,-0.92577,-0.61522,3.6191,0.806,0.548,3.49,22.4,20.25
78,642,64.8%,76.7,-385,-0.79536,-0.35515,0,1.762,1.283,2.385,34.5,10.25
79,642,64.8%,54.44,-455,-0.85709,-0.9672,0,0.773,0.707,0.992,34.5,16.8
80,642,64.8%,85.9,-389,0.8418,-0.67123,0,0.577,nan,1.413,28.6,0.35
81,642,64.8%,78.34,-395,-0.45569,-0.41206,-0.24508,0.595,nan,0.713,45.3,14.3
82,642,64.84%,78.16,-398,-0.67592,-1.13427,0,0.511,nan,9.323,38.6,18.45
83,642,64.84%,75.68,-431,-0.24247,-1.05159,0,0.875,0.533,6.082,29.9,22.7
84,642,64.84%,73.95,-441,-0.80887,-0.45621,0,0.516,0.707,11.529,37.4,7.0
