Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,550,64.0%,101.32,0,-0.10566,-0.66273,0,4.018,1.181,7.343,38.7,28.15
1,550,64.0%,102.51,0,1.05203,-0.49811,0,14.09,14.473,11.418,42.45,28.65
2,550,64.0%,98.98,-6,0.01575,0.47676,0,13.094,1.546,11.857,32.4,22.2
3,550,64.0%,99.97,4,0.79473,-1.00045,0,13.439,35.347,12.817,48.5,26.3
4,550,64.0%,99.25,1,0.13266,0.37429,-1.97367,5.619,0.529,13.013,31.25,10.3
5,550,64.04%,99.97,-1,2.66615,1.10182,0,8.1,3.215,8.864,45.0,27.3
6,550,64.04%,98.91,-22,0.10225,-0.47325,0,2.883,0.577,4.58,28.5,11.75
7,550,64.04%,97.5,-10,-0.75616,-0.00953,0,9.675,2.102,4.662,21.4,11.95
8,550,64.04%,96.46,-25,-0.75867,-0.33899,0,2.731,0.42,3.235,34.25,31.3
9,550,64.08%,93.15,-13,-0.13758,-1.00224,6.16681,1.354,0.948,3.027,36.6,20.25
10,550,64.08%,91.36,-19,-1.10282,-0.84689,0,12.285,0.548,6.247,33.9,33.4
11,550,64.08%,90.91,-35,-0.20451,0.23177,0,5.416,0.503,6.31,36.0,20.65
12,550,64.08%,91.55,-30,-0.40852,0.10745,0,5.216,0.577,3.353,35.1,20.7
13,550,64.08%,96.17,-26,-0.60527,-0.67246,-1.68294,2.431,0.548,9.885,23.05,22.1
14,550,64.12%,92.04,-35,-0.64396,0.15876,0,5.531,0.527,6.244,35.75,24.8
15,550,64.12%,94.19,-25,-0.12514,-0.36179,0,5.005,0.548,5.307,38.1,17.3
16,550,64.12%,93.92,-26,-0.74552,0.59373,0,7.632,0.577,5.473,26.95,12.5
17,550,64.12%,97.57,-12,-0.77984,-0.23001,0,18.146,0.668,11.389,25.6,16.15
18,550,64.16%,95.23,-52,-0.29093,-1.15995,0.73982,0.99,0.813,9.031,23.55,18.1
19,550,64.16%,94.59,-26,-0.60105,0.4682,0,0.882,0.492,1.373,32.75,28.15
20,550,64.16%,92.81,-34,-0.96368,0.55148,0,2.836,0.548,4.021,34.95,22.55
21,550,64.16%,95.33,-38,-0.31545,0.11902,0,4.824,nan,7.441,29.15,16.9
