Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,705,64.0%,104.85,-1,0.0206,1.0319,0,13.638,4.61,10.323,34.9,19.4
1,705,64.0%,99.09,-9,-0.3698,-0.93738,0,6.466,2.776,14.792,27.95,21.0
2,705,64.0%,99.34,-1,-0.05661,0.31758,0,12.637,2.691,11.264,40.35,21.15
3,705,64.0%,98.04,-2,0.85529,-0.56131,-1.97116,16.42,0.577,12.08,42.65,18.2
4,705,64.04%,99.76,0,1.39898,0.26074,0,3.71,0.664,5.52,41.1,24.85
5,705,64.04%,97.14,-2,-0.57658,-0.37212,0,10.891,2.169,12.321,32.1,29.4
6,705,64.04%,98.84,-2,0.29797,-0.7475,0,2.786,1.447,9.692,43.7,13.25
7,705,64.08%,95.68,2,-0.36695,-0.91197,5.99867,4.968,0.577,6.585,46.45,29.15
8,705,64.08%,94.45,-9,-0.49883,0.07547,0,1.644,0.534,11.893,31.15,25.25
9,705,64.08%,96.28,-12,-0.23087,-0.58273,0,6.086,0.447,8.212,28.85,22.7
10,705,64.08%,93.46,-13,-0.72504,-0.97179,-1.67196,0.746,0.548,8.294,30.25,11.65
11,705,64.12%,95.81,-22,-0.2835,-0.23114,0,0.575,0.535,6.451,41.85,18.35
12,705,64.12%,90.27,-25,-0.19656,0.04551,0,7.014,0.548,7.453,37.15,18.65
13,705,64.12%,93.4,-33,-0.09823,-0.76448,0,2.448,1.845,9.124,32.05,27.05
14,705,64.16%,89.26,-38,-0.30605,-0.74815,0.66235,1.454,0.577,7.555,39.85,15.55
15,705,64.16%,93.27,-7,-0.81019,1.38188,0,0.626,0.993,8.551,26.9,16.35
16,705,64.16%,95.86,-26,0.04701,0.51749,0,13.043,0.449,8.379,26.95,25.95
17,705,64.16%,90.97,-35,-0.62999,-0.79701,-0.91854,0.785,0.548,6.547,30.95,24.1
18,705,64.2%,89.96,-32,-0.94436,-0.51304,0,12.021,0.62,5.179,33.8,17.3
19,705,64.2%,88.69,-32,-0.58271,0.68704,0,1.846,4.634,11.546,38.05,25.4
20,705,64.2%,89.87,-42,-0.97836,-0.26508,0,7.105,0.707,6.556,30.9,17.9
21,705,64.24%,90.33,-58,-0.65213,-0.60271,-1.00085,11.712,0.548,7.335,32.5,8.75
22,705,64.24%,85.92,-43,-0.7037,-1.268,0,3.105,0.496,6.601,33.2,19.45
23,705,64.24%,87.65,-67,-0.24848,-0.46707,0,1.549,1.487,4.19,30.6,28.7
24,705,64.24%,86.36,-68,-1.29327,-0.8665,0.87018,0.892,0.471,1.49,29.4,10.0
25,705,64.28%,88.67,-51,-0.22931,-0.89117,0,3.612,0.531,7.885,26.6,19.6
26,705,64.28%,80.67,-59,-0.65961,-0.68585,0,6.528,0.707,5.699,40.05,28.45
27,705,64.28%,84.13,-68,-0.45202,-0.92028,0,23.941,54.309,7.91,35.25,35.15
28,705,64.32%,82.34,-80,-0.44059,-1.32229,-1.70778,3.813,1.732,8.016,43.2,13.5
29,705,64.32%,83.29,-112,-1.16933,0.09193,0,0.774,1.102,6.44,39.55,28.15
30,705,64.32%,72.33,-86,-0.80301,-1.02601,0,1.178,0.575,5.199,56.6,14.55
31,705,64.32%,71.13,-82,-0.7138,-0.36661,6.90036,0.624,0.577,1.955,59.0,25.9
32,705,64.36%,81.01,-50,-1.35267,-0.83433,0,4.955,0.577,4.515,38.6,16.05
33,705,64.36%,84.64,-149,-1.01176,-1.27218,0,0.944,0.707,1.675,26.85,19.35
34,705,64.36%,85.57,-119,-1.08056,-1.06524,0,0.767,0.473,2.478,25.05,20.1
35,705,64.4%,71.51,-130,-1.3455,-0.98432,-1.98103,4.248,nan,4.069,47.3,15.1
36,705,64.4%,86.83,-74,-0.09545,-1.47731,0,3.039,0.707,2.086,32.15,21.9
37,705,64.4%,81.43,-161,-1.07064,-0.88301,0,0.585,0.498,9.176,31.95,14.9
38,705,64.4%,87.36,-142,-0.70993,-0.56952,0,0.728,0.818,1.749,28.55,11.85
39,705,64.44%,77.79,-174,-0.8181,-0.71899,136.98524,13.568,0.577,7.769,40.1,26.4
40,705,64.44%,80.71,-135,-1.08884,-0.66919,0,0.557,0.707,1.251,31.2,9.25
41,705,64.44%,83.19,-153,-0.35841,-0.46255,0,0.523,0.707,1.204,39.0,28.45
42,705,64.44%,82.46,-147,-0.59899,0.24626,-1.95958,0.837,0.577,1.291,31.95,11.8
43,705,64.48%,84.38,-139,-0.332,-0.08276,0,0.663,0.707,9.175,34.85,23.2
44,705,64.48%,78.74,-205,-0.75901,0.62446,0,5.172,0.548,5.922,28.05,25.3
45,705,64.48%,84.73,-189,-1.23165,-0.12604,0,2.912,1.243,2.674,21.3,15.9
46,705,64.52%,84.3,-272,-0.06102,0.28595,5.22716,0.57,0.577,8.549,28.95,23.65
47,705,64.52%,83.5,-250,-0.81628,-0.3291,0,1.659,0.484,1.121,24.3,14.05
48,705,64.52%,72.74,-262,-1.50434,-0.89059,0,3.82,0.707,2.097,41.75,13.65
49,705,64.52%,81.69,-234,0.10943,0.8419,-1.63361,0.918,nan,1.842,35.9,26.75
50,705,64.56%,89.06,-197,-0.41689,-0.51027,0,0.763,1.045,11.75,18.5,17.3
51,705,64.56%,71.61,-207,-0.33121,0.46335,0,0.749,nan,3.853,49.85,16.35
52,705,64.56%,62.12,-240,-0.04037,-0.06433,0,0.621,0.577,1.787,47.95,14.2
53,705,64.6%,80.43,-170,-0.25268,-0.8278,0.4709,2.894,5.363,3.342,30.5,6.25
54,705,64.6%,88.46,-254,0.75893,-1.02696,0,4.505,0.577,4.865,26.5,25.1
55,705,64.6%,64.73,-346,-1.23069,1.5807,0,0.95,0.741,4.827,49.75,19.85
56,705,64.6%,66.68,-338,-1.43641,-0.84186,-0.8308,0.678,0.577,0.672,47.9,17.2
57,705,64.64%,82.31,-307,-0.49556,0.52649,0,0.556,0.577,0.773,24.35,17.0
58,705,64.64%,76.47,-308,0.17254,-0.37618,0,0.52,0.625,0.963,45.4,18.95
59,705,64.64%,48.54,-409,-0.00466,-1.03209,0,0.564,nan,0.645,34.35,14.75
60,705,64.68%,46.87,-397,-0.30864,0.00611,-1.07809,0.561,0.707,6.152,20.25,16.8
61,705,64.68%,83.7,-355,1.78092,-0.51373,0,0.55,0.548,0.668,35.2,16.95
62,705,64.68%,82.51,-348,-0.04456,-0.6336,0,11.267,0.577,4.776,32.5,31.45
63,705,64.68%,69.36,-315,-0.51277,-0.3028,1.09639,0.506,nan,0.712,43.65,14.1
64,705,64.72%,51.19,-376,0.18061,-0.26957,0,0.602,nan,2.013,35.85,24.3
65,705,64.72%,66.75,-336,-1.39336,-1.12652,0,0.514,nan,3.691,51.25,8.7
66,705,64.72%,71.57,-444,-0.73099,-0.22275,0,0.703,0.707,7.814,40.5,6.35
67,705,64.76%,51.13,-461,-0.01377,-0.22328,-1.74118,0.493,0.707,0.706,38.2,8.1
68,705,64.76%,29.68,-500,-0.58746,-0.71583,0,0.866,0.577,0.918,22.75,6.65
69,705,64.76%,44.5,-456,-1.09115,0.15672,0,0.605,0.5,1.914,34.2,16.9
70,705,64.76%,70.2,-392,-0.79826,-0.77326,7.96769,2.227,nan,1.457,35.5,18.55
71,705,64.8%,74.01,-400,-0.39703,-0.78059,0,29.549,nan,9.87,30.25,7.0
72,705,64.8%,84.01,-326,-0.89371,-1.01904,0,0.501,0.577,1.926,23.25,6.2
73,705,64.8%,83.58,-275,-1.05808,-0.82653,0,0.578,0.577,0.537,20.6,19.1
74,705,64.84%,61.7,-320,-1.0937,-1.00558,-1.98922,1.336,1.033,0.932,58.8,11.8
75,705,64.84%,35.03,-373,-0.88115,-0.73707,0,6.516,0.707,3.42,17.0,11.55
76,705,64.84%,41.69,-348,-0.74012,-0.57394,0,0.666,0.548,0.621,20.5,5.05
77,705,64.84%,34.03,-385,-0.77308,-1.03922,0,0.508,0.707,1.602,14.2,8.0
78,705,64.88%,32.19,-394,-0.92976,-1.10257,65.98997,3.041,0.707,1.296,12.75,4.25
79,705,64.88%,41.31,-339,-0.78523,-0.98571,0,0.549,0.5,1.921,29.7,18.6
80,705,64.88%,76.42,-304,1.39414,-0.18819,0,0.7,nan,1.144,51.25,16.0
81,705,64.88%,63.22,-302,-1.15331,-0.78071,-1.94627,0.5,0.707,1.978,60.1,15.35
82,705,64.92%,57.06,-298,-0.92935,-0.7286,0,0.703,0.814,1.252,51.3,22.2
83,705,64.92%,80.06,-262,-0.4363,-0.05928,0,0.51,nan,0.598,34.05,26.6
84,705,64.92%,66.04,-281,-1.08441,1.84724,0,0.534,0.707,1.737,32.85,10.95
85,705,64.96%,69.04,-302,-0.20491,-1.10543,4.55982,0.627,1.0,3.658,47.2,12.1
86,705,64.96%,66.99,-329,0.12175,-0.51539,0,0.837,nan,2.061,31.4,0.05
87,705,64.96%,81.33,-251,-0.82506,-1.64811,0,1.155,0.707,0.799,28.9,7.0
88,705,64.96%,54.19,-499,0.3234,0.43009,-1.59261,0.842,1.03,0.659,56.85,6.9
89,705,65.0%,60.94,-467,-0.19407,-0.40829,0,23.589,94.752,9.782,49.8,15.8
90,705,65.0%,61.45,-504,-0.5257,-1.32174,0,0.516,0.577,7.271,22.25,13.3
91,705,65.0%,64.43,-516,0.62277,3.39498,0,0.563,1.0,2.333,44.55,17.95
92,705,65.04%,74.69,-477,0.2878,-1.02894,0.29408,0.511,nan,0.68,21.5,19.0
93,705,65.04%,71.64,-439,-1.01341,0.08525,0,1.004,0.577,0.699,39.85,19.1
94,705,65.04%,73.21,-455,-0.22659,4.96773,0,3.312,0.707,1.417,35.75,22.25
95,705,65.04%,62.12,-524,-0.7211,-0.62473,-0.7372,0.656,nan,0.71,22.05,12.2
96,705,65.08%,56.6,-511,-0.8012,-0.8817,0,2.944,7.263,1.665,33.95,11.7
97,705,65.08%,57.58,-510,-1.09565,0.50485,0,0.615,0.577,0.62,29.25,6.2
98,705,65.08%,65.23,-476,-0.34051,-1.29344,0,0.513,0.707,0.752,25.9,4.9
99,705,65.12%,64.32,-499,-0.73994,-1.60851,-1.15062,1.374,nan,2.805,41.25,19.35
