Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,594,64.0%,102.27,-3,-0.14911,-0.24622,0,3.932,2.763,7.472,41.1,34.55
1,594,64.0%,101.5,-2,0.17521,-0.24916,0,4.927,3.174,9.497,39.6,33.4
2,594,64.0%,101.5,-4,1.08744,-0.55327,0,6.295,2.932,8.095,43.6,20.3
3,594,64.0%,101.49,-3,0.53395,-0.22743,0,14.965,3.385,11.903,47.1,34.2
4,594,64.08%,95.99,-3,-0.58284,-0.54351,0.06478,20.622,0.519,11.164,42.9,28.45
5,594,64.08%,95.1,-4,1.41123,0.01294,0,6.969,15.121,7.741,37.0,25.35
6,594,64.08%,94.94,5,-0.54222,-0.57378,0,12.127,0.496,7.617,26.95,17.85
7,594,64.08%,100.71,-3,0.51435,-0.05914,0,4.248,0.548,9.507,43.75,24.9
8,594,64.16%,88.63,4,-0.54364,-0.30835,-1.8939,11.738,0.837,5.157,43.85,28.25
9,594,64.16%,89.99,-20,-1.01041,0.16313,0,24.919,0.855,13.971,35.5,19.55
10,594,64.16%,91.04,-9,0.1685,-0.12485,0,6.076,0.708,6.342,30.5,19.85
11,594,64.16%,96.33,-18,-0.7056,-0.83891,0,0.824,1.176,9.945,22.75,16.8
12,594,64.16%,95.66,-16,-0.23173,0.44579,-1.73201,19.199,0.577,13.588,32.4,17.3
13,594,64.24%,94.49,-27,-0.42028,-0.20266,0,2.096,0.577,6.592,32.7,16.9
14,594,64.24%,92.52,-33,0.71041,-0.49181,0,13.538,37.055,7.745,39.65,12.65
15,594,64.24%,96.48,-33,-0.64375,-1.03382,0,11.775,26.092,11.864,30.5,20.2
16,594,64.24%,96.62,-3,-0.79917,-0.28624,1.27964,5.502,0.577,4.945,26.8,21.8
17,594,64.32%,93.65,-20,0.46303,0.99564,0,0.766,0.577,5.35,45.25,15.55
18,594,64.32%,91.39,-20,-1.086,-1.2471,0,20.403,53.185,8.964,27.45,12.9
19,594,64.32%,96.34,-30,-0.70916,-0.13032,0,5.18,0.577,14.386,23.7,16.2
20,594,64.32%,89.14,-51,-0.31081,-0.21534,0,1.113,0.837,9.035,40.05,14.75
21,594,64.4%,94.32,-41,-0.54579,-0.22237,18.05362,2.834,4.283,2.014,25.9,19.3
22,594,64.4%,90.6,-39,0.18004,-0.57966,0,4.066,0.577,9.314,34.5,15.8
23,594,64.4%,88.58,-45,-1.23484,-0.67114,0,11.695,0.619,5.741,30.85,24.3
24,594,64.4%,86.93,-38,-0.62052,-0.7828,0,3.333,0.753,9.339,43.4,12.05
25,594,64.48%,92.6,-21,-0.17904,-1.15917,-0.69794,1.186,2.73,4.396,29.95,15.1
26,594,64.48%,88.25,-47,-0.23974,-1.02003,0,2.801,1.803,8.382,26.85,23.2
27,594,64.48%,89.4,-37,-0.06399,-0.9019,0,3.877,0.699,5.759,30.45,23.45
28,594,64.48%,74.21,-67,-0.8118,-1.29012,0,0.694,0.985,3.947,55.4,29.35
29,594,64.56%,87.04,-35,-0.27939,-0.35962,-1.98243,0.994,1.015,1.831,48.15,17.1
30,594,64.56%,78.04,-76,-1.65849,-1.73205,0,8.971,1.879,8.038,48.65,16.3
31,594,64.56%,73.27,-109,-1.5169,-1.49979,0,0.676,1.409,7.087,50.6,14.6
32,594,64.56%,85.28,-87,-0.97722,-1.14933,0,2.784,0.493,6.174,34.25,10.15
33,594,64.56%,76.2,-67,-0.56777,-0.27967,-1.47926,5.829,17.297,3.267,42.5,36.2
34,594,64.64%,84.38,-43,-0.08515,-0.50972,0,1.42,0.548,3.823,45.65,13.45
35,594,64.64%,83.61,-68,-0.45115,-0.44418,0,1.167,1.853,6.329,38.3,25.3
36,594,64.64%,87.23,-43,0.11594,-0.8199,0,0.515,0.548,7.006,35.15,18.65
37,594,64.64%,65.31,-81,-0.86327,-1.06033,3.42679,0.637,0.577,3.259,59.85,18.9
38,594,64.72%,66.25,-81,-1.46856,-1.37916,0,9.099,0.642,3.762,55.9,12.4
39,594,64.72%,87.13,-42,0.27933,-0.12915,0,0.679,0.5,2.036,32.7,19.35
40,594,64.72%,78.49,-45,-0.55011,0.36146,0,7.913,nan,4.49,51.4,14.8
41,594,64.72%,57.08,-72,-0.73741,-1.10716,0,0.699,0.995,4.722,27.95,13.15
42,594,64.8%,79.43,-44,-1.43787,-1.08563,6.5844,0.677,0.577,5.822,44.1,21.4
43,594,64.8%,76.4,-57,-1.28329,-0.93611,0,3.633,9.759,6.792,54.05,37.4
44,594,64.8%,88.5,-87,0.72937,-1.52737,0,2.577,0.927,2.455,34.9,24.25
45,594,64.8%,73.72,-107,-1.11938,-1.03627,0,2.161,0.851,2.374,39.9,17.65
46,594,64.88%,56.75,-150,-1.34988,-1.57642,-1.20397,1.598,0.707,1.42,61.2,7.75
47,594,64.88%,73.1,-99,-0.37376,0.23291,0,0.533,1.113,1.723,60.5,16.15
48,594,64.88%,88.59,-122,-1.32107,-1.03773,0,3.758,0.707,2.736,16.35,10.95
49,594,64.88%,75.23,-154,-1.27808,-1.23998,0,0.526,0.577,0.776,38.15,19.75
50,594,64.88%,73.55,-173,-1.00097,1.16838,-2.00636,0.612,0.497,1.835,54.5,23.1
51,594,64.96%,75.23,-163,-0.92167,-0.97261,0,3.681,0.577,1.593,58.2,13.0
52,594,64.96%,82.9,-179,-0.56608,-0.49487,0,3.875,0.548,4.325,32.1,19.6
53,594,64.96%,64.66,-198,0.299,1.1266,0,0.927,0.465,0.759,59.55,31.1
54,594,64.96%,40.72,-242,-0.0724,-0.33678,-1.10413,1.53,0.707,0.831,15.2,8.65
55,594,65.04%,75.47,-153,-1.27561,-1.0046,0,3.411,nan,4.346,48.65,1.15
56,594,65.04%,88.32,-126,-0.69834,0.44405,0,4.269,0.81,1.891,18.9,6.15
57,594,65.04%,80.78,-134,0.99206,-0.07834,0,0.999,0.707,1.863,33.75,25.7
58,594,65.04%,67.75,-158,1.41464,-0.52046,8.07488,1.023,0.548,0.775,37.95,34.3
59,594,65.12%,72.19,-124,-1.12141,-1.60872,0,3.457,nan,8.32,46.0,13.35
60,594,65.12%,87.24,-180,0.36078,-1.13713,0,2.055,6.466,5.507,26.35,22.6
61,594,65.12%,82.49,-135,-0.56398,0.01118,0,31.429,0.629,10.627,27.8,13.65
62,594,65.12%,79.59,-217,-1.16421,-0.65418,0,0.788,0.707,3.168,38.45,22.7
63,594,65.2%,68.3,-216,-1.08554,-1.42553,2.80015,0.631,0.897,8.657,45.5,16.75
64,594,65.2%,82.47,-173,0.57774,-0.51027,0,18.779,nan,5.884,35.95,8.35
65,594,65.2%,88.38,-156,0.33045,-1.82883,0,0.721,0.707,1.085,25.55,18.5
66,594,65.2%,83.76,-331,-0.48063,0.6263,0,0.583,0.577,3.859,26.15,11.25
67,594,65.28%,70.0,-332,-1.42443,-0.75648,-1.54701,3.086,0.707,1.434,43.3,9.15
68,594,65.28%,83.28,-292,-1.16955,-0.50694,0,1.385,3.03,5.813,18.1,10.5
69,594,65.28%,77.02,-275,-1.53969,-1.18965,0,0.751,0.548,4.147,30.75,27.9
70,594,65.28%,84.88,-291,0.09693,-0.57199,0,0.597,0.472,0.607,22.85,22.05
71,594,65.28%,83.91,-268,-0.82143,-0.41024,-1.96794,2.485,nan,1.186,22.9,14.0
72,594,65.36%,85.91,-263,0.0869,-0.83512,0,0.562,0.577,2.177,18.65,16.25
73,594,65.36%,67.24,-246,-0.10591,-0.60536,0,0.506,0.548,1.346,33.6,8.55
74,594,65.36%,83.34,-284,-1.3403,-0.88556,0,0.51,0.554,0.591,29.5,10.0
75,594,65.36%,81.81,-481,-0.06646,-1.10647,-0.54953,1.619,nan,0.933,43.55,22.6
76,594,65.44%,61.52,-533,-1.31278,-1.16877,0,11.057,nan,10.1,34.9,15.4
77,594,65.44%,60.86,-538,-0.23776,-0.66116,0,1.812,0.837,0.978,19.6,6.05
78,594,65.44%,81.14,-518,-1.1082,-1.41825,0,0.486,0.707,1.085,30.0,20.5
79,594,65.44%,83.88,-553,-1.26036,-0.57697,24.95449,1.369,0.707,3.273,19.7,12.9
80,594,65.52%,85.04,-564,-0.35381,-0.50315,0,1.384,0.577,1.194,18.85,15.45
