Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,666,64.0%,100.89,-5,0.21398,0.07673,0,14.18,2.898,8.739,37.75,22.45
1,666,64.0%,98.64,-1,-0.4062,0.05537,0,4.347,2.057,16.575,24.75,21.65
2,666,64.0%,101.32,-5,-0.22924,-0.80323,0,13.247,6.78,9.559,33.2,25.45
3,666,64.0%,101.6,-13,0.6202,-0.93002,-0.60789,1.386,2.031,13.297,43.85,22.65
4,666,64.04%,97.11,-12,0.12245,-0.89048,0,4.287,3.73,11.674,33.9,14.15
5,666,64.04%,99.73,2,0.1044,-0.46593,0,3.097,0.56,6.352,42.15,21.05
6,666,64.04%,89.11,-14,-0.86049,-0.45981,0,1.493,0.529,9.619,41.25,34.95
7,666,64.04%,96.89,-11,0.12593,0.15961,-2.00512,3.985,5.651,5.437,31.3,26.95
8,666,64.08%,93.43,-18,-0.88461,-0.65963,0,4.433,nan,7.908,28.65,17.65
9,666,64.08%,90.93,-15,-0.62764,-0.55856,0,2.121,0.781,3.166,27.15,18.15
10,666,64.08%,92.93,13,-0.99541,-1.08071,0,3.758,0.707,7.269,26.15,18.75
11,666,64.12%,95.93,-2,-0.61698,-0.36305,-0.81587,10.638,32.484,8.84,30.95,20.0
12,666,64.12%,94.06,-9,0.33638,0.40832,0,7.897,1.196,6.449,33.85,19.65
13,666,64.12%,94.53,-21,-0.33904,0.22162,0,6.509,0.5,7.91,30.75,21.55
14,666,64.12%,93.7,-45,-0.40285,-0.84367,0,2.474,0.548,7.232,29.05,15.25
15,666,64.16%,94.51,-9,0.7136,-1.07041,62.0894,3.141,0.535,7.227,36.8,15.7
16,666,64.16%,93.58,-78,-1.08727,-0.5089,0,2.105,0.816,3.847,18.9,17.45
17,666,64.16%,95.72,-50,-0.62649,-1.15642,0,1.418,0.768,5.526,20.25,16.85
18,666,64.16%,95.44,-45,1.54934,-0.41026,-0.36831,1.643,1.008,7.156,32.45,12.6
19,666,64.2%,88.68,-34,-1.31128,-1.02047,0,1.571,0.707,5.876,34.0,24.5
20,666,64.2%,90.51,-35,-0.89747,0.03241,0,0.643,0.548,3.59,27.85,22.3
21,666,64.2%,92.4,-37,-0.28621,-0.599,0,6.724,20.718,4.63,27.8,19.2
22,666,64.2%,82.65,-56,-1.01368,-1.26646,-1.99784,2.924,7.899,4.207,46.3,37.65
23,666,64.24%,89.77,-36,-0.85482,-0.41589,0,2.228,1.104,6.223,35.15,26.8
24,666,64.24%,86.6,-45,-0.86992,-0.2151,0,0.546,0.577,2.37,29.7,9.85
25,666,64.24%,90.15,-29,-0.92102,0.31504,0,3.309,0.681,5.296,26.65,20.5
26,666,64.28%,88.5,-12,-0.55082,-0.49286,-0.99717,15.255,0.577,6.886,42.7,28.9
27,666,64.28%,85.96,-27,-0.59919,-1.15031,0,2.615,5.924,2.388,47.2,36.2
28,666,64.28%,75.58,-57,-1.00913,-1.18811,0,1.65,0.707,5.265,50.35,17.45
29,666,64.28%,85.08,-50,-1.12123,-0.84536,0,0.588,0.577,7.968,37.7,19.5
30,666,64.32%,82.98,-55,-1.11952,-0.92442,28.55387,0.57,0.375,4.579,37.15,16.05
31,666,64.32%,85.97,-28,1.45779,4.09191,0,1.703,nan,5.598,41.4,27.1
32,666,64.32%,59.98,-80,1.19,-0.32801,0,1.72,0.707,4.604,28.8,22.45
33,666,64.32%,42.34,-83,-0.91987,-0.01119,-0.09082,0.65,0.957,1.897,44.3,5.9
34,666,64.36%,30.41,-86,0.55976,-0.70045,0,0.674,0.548,4.356,33.25,13.35
35,666,64.36%,66.57,-29,-1.00088,-1.04505,0,1.2,0.997,4.919,44.35,17.4
36,666,64.36%,63.14,-58,-1.02531,-1.14661,0,7.9,1.082,3.551,45.9,21.7
37,666,64.36%,88.95,-7,-1.15762,4.04812,-1.98319,2.546,0.707,1.903,31.15,18.5
38,666,64.4%,86.91,-81,-0.85659,-0.29211,0,0.739,0.523,3.97,25.35,14.25
39,666,64.4%,78.84,-135,-1.22229,-1.00216,0,2.108,0.577,7.144,39.35,16.8
40,666,64.4%,60.51,-187,-0.44499,-0.76117,0,0.697,0.952,3.417,33.3,15.7
41,666,64.44%,71.48,-151,-0.62951,-0.80114,-1.15566,12.116,0.5,7.732,38.7,13.3
42,666,64.44%,81.81,-130,-1.26799,-0.92241,0,0.679,1.493,2.246,27.0,13.05
43,666,64.44%,82.58,-148,-1.15614,-0.6785,0,0.791,0.707,3.917,32.45,7.8
44,666,64.44%,82.09,-153,-0.56058,-0.52025,0,0.5,nan,2.149,30.0,12.9
45,666,64.48%,78.72,-120,-1.22412,-0.53702,17.38642,3.065,0.577,1.47,31.25,25.8
46,666,64.48%,81.95,-106,-0.66772,-0.6449,0,0.568,0.548,1.258,32.4,26.2
47,666,64.48%,74.98,-165,-0.85053,-0.95003,0,1.185,0.707,1.392,34.75,21.35
