Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,726,64.0%,100.03,-3,0.2506,1.31521,0,7.304,1.038,11.21,43.45,28.55
1,726,64.0%,101.24,4,0.04042,-0.85611,0,14.964,12.667,11.942,33.35,19.15
2,726,64.0%,100.13,4,-0.16184,-0.36154,0,5.59,0.818,8.966,34.05,34.05
3,726,64.04%,99.65,4,0.43183,0.09676,-1.95349,2.22,3.289,8.883,43.2,23.55
4,726,64.04%,94.32,-8,-0.40625,-0.72523,0,18.694,0.881,7.519,35.9,28.1
5,726,64.04%,97.33,-4,1.02189,-0.21186,0,7.258,6.516,4.123,33.65,16.95
6,726,64.04%,96.55,-4,-0.44079,0.26236,4.01685,1.677,1.777,7.268,39.65,30.0
7,726,64.08%,93.19,-3,-0.27651,-0.63506,0,1.299,0.548,5.508,40.0,17.05
8,726,64.08%,92.41,-4,0.18347,-0.49178,0,1.902,0.756,8.315,42.85,17.45
9,726,64.08%,91.21,-26,1.01665,-0.87175,0,4.54,0.577,8.094,34.85,13.1
10,726,64.12%,95.01,5,-0.86782,-1.05969,-1.48311,1.174,0.548,3.792,33.2,28.5
11,726,64.12%,93.76,-17,-0.91798,-0.67038,0,3.411,0.625,10.403,35.25,26.1
12,726,64.12%,95.54,-25,-0.39212,-0.22805,0,14.258,0.957,10.16,28.65,10.7
13,726,64.12%,96.65,-41,-0.04225,1.12802,-0.27499,1.933,0.548,11.715,25.85,20.65
14,726,64.16%,95.33,-25,0.21712,1.36584,0,4.004,7.915,5.755,28.55,24.45
15,726,64.16%,92.14,-27,-0.93733,-0.63765,0,4.624,0.577,4.97,32.4,14.4
16,726,64.16%,91.91,-41,-0.78539,-1.22777,0,1.064,0.577,9.235,30.25,21.45
17,726,64.2%,94.55,-42,-0.30091,-1.26676,-0.11946,10.384,0.535,9.373,25.2,19.9
