Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,556,64.0%,101.24,-7,1.15021,-0.50032,0,3.728,1.043,8.479,50.1,23.0
1,556,64.0%,99.36,0,-0.18752,-0.35423,0,6.93,11.42,9.35,37.55,26.65
2,556,64.0%,102.4,-6,-0.65418,-0.34872,0,5.088,3.274,12.106,25.8,25.8
3,556,64.0%,99.14,2,0.59246,-0.31224,0,5.756,2.103,7.335,37.25,26.9
4,556,64.0%,98.44,-5,0.01483,-0.50553,0,5.339,10.305,14.583,40.45,15.8
5,556,64.0%,97.14,-6,-0.73601,0.78302,0,6.056,1.269,7.714,30.9,23.15
6,556,64.0%,94.7,-1,-0.73325,0.37492,0,3.733,0.548,5.034,29.35,20.35
7,556,64.0%,92.4,7,-0.45406,-1.19174,0,3.079,1.065,5.268,66.75,53.05
8,556,64.0%,95.84,2,-0.04964,-0.26095,0,2.832,1.145,2.437,43.7,24.85
9,556,64.0%,94.99,-9,-0.58074,-1.04045,0,0.714,0.975,5.835,39.5,22.15
10,556,64.0%,91.78,3,-0.5394,-0.82472,0,4.326,6.314,6.65,32.2,21.45
11,556,64.0%,88.78,8,-0.19056,-0.95696,0,1.226,1.134,7.093,44.6,22.05
12,556,64.0%,91.08,-11,-0.18145,-0.17898,0,3.731,0.972,4.831,38.15,24.35
13,556,64.0%,97.38,5,2.83729,0.49197,0,3.505,1.969,7.108,51.55,13.1
14,556,64.0%,97.49,-46,-0.55539,-1.70323,0,8.388,0.816,4.694,37.4,14.15
15,556,64.0%,98.7,-90,-0.57979,-1.30422,0,22.204,0.465,14.235,19.8,14.15
16,556,64.0%,91.94,-101,1.89729,-0.59132,0,10.504,2.319,5.73,41.0,32.45
17,556,64.0%,87.64,-83,-0.97638,1.20139,0,2.841,0.913,6.63,25.2,15.5
18,556,64.0%,94.53,-74,-0.43304,-0.70655,0,1.873,0.756,6.629,22.9,22.8
19,556,64.0%,94.28,-53,1.66649,-0.29596,0,3.914,0.531,8.045,33.5,22.35
20,556,64.0%,92.69,-82,0.45291,-1.23269,0,5.621,0.577,11.452,26.25,15.9
21,556,64.0%,90.66,-68,-1.0656,-0.48016,0,7.229,0.531,3.619,27.7,22.5
22,556,64.4%,94.67,-65,-0.67691,-1.20763,-2.002,10.097,0.577,7.558,22.35,18.95
23,556,64.4%,90.39,-57,-1.18138,0.31121,0,0.757,nan,5.08,30.1,11.3
