Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
1,True,935,1565,100,30,5,70.6%,75.2,-110,-0.17276,0.23224,-1.41453,0.738,0.577,7.61,127.85,21.3,75000,34847
2,True,935,1565,100,30,5,74.6%,91.0,-156,0.08567,-0.91216,-1.04262,1.183,0.577,7.295,110.1,18.7,75000,41386
3,True,935,1565,100,30,5,74.6%,91.45,-408,-0.54069,-0.09816,-1.07351,0.915,0.577,6.787,115.35,14.85,75000,42212
4,True,935,1565,100,30,5,70.6%,96.75,-58,-0.51377,-1.07338,-1.46812,0.565,0.548,6.848,118.7,19.05,75000,36242
5,True,935,1565,100,30,5,66.6%,66.65,-68,1.37992,0.7402,-1.99908,0.756,0.733,7.417,121.85,27.55,75000,24595
6,True,935,1565,100,30,5,70.6%,95.1,-210,1.19688,0.01227,-1.16851,1.155,3.582,7.159,111.35,19.0,75000,31401
7,True,935,1565,100,30,5,74.6%,92.6,-241,-0.17888,-1.0582,-1.17573,0.621,nan,6.577,130.9,18.1,75000,44452
8,True,935,1565,100,30,5,70.6%,94.25,-78,-0.47404,-1.06339,-1.49616,1.494,2.121,6.739,122.4,19.15,75000,37313
9,True,935,1565,100,30,5,70.6%,94.85,-151,0.68888,-0.20485,-1.2263,1.941,0.756,7.264,118.0,20.85,75000,32009
10,True,935,1565,100,30,5,66.6%,101.05,-70,1.46413,-0.43725,-1.9096,1.825,0.759,7.974,96.95,15.6,75000,21762
11,True,935,1565,100,30,5,70.6%,95.55,-101,1.15847,-0.88726,-0.93872,1.819,0.577,7.611,120.2,16.65,75000,29477
