Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
1,True,900,1600,25,40,5,69.0%,65.85,-321,-0.91933,-1.10398,-1.16338,0.614,0.874,5.844,124.35,22.6,100000,64920
2,True,900,1600,25,40,5,67.0%,62.7,-117,0.26594,-0.22208,-1.08134,7.492,0.894,7.338,105.6,16.35,100000,39065
3,True,900,1600,25,40,5,68.0%,59.25,-510,-0.73682,-1.0491,-1.12848,0.57,0.548,6.795,105.1,8.2,100000,54929
4,True,900,1600,25,40,5,68.0%,91.8,-179,-0.68686,-1.37276,-1.14928,0.647,0.875,5.219,115.95,20.65,100000,55941
5,True,900,1600,25,40,5,68.0%,59.35,-446,-0.32341,-0.52873,-1.28079,0.612,0.484,6.503,105.65,1.9,100000,61475
6,True,900,1600,25,40,5,67.0%,79.1,-241,0.64474,-1.11669,-1.19543,0.527,0.548,7.319,113.75,18.7,100000,44895
7,True,900,1600,25,40,5,68.0%,85.45,-256,-0.36126,-0.90309,-1.16604,6.669,0.577,6.187,117.55,4.7,100000,56641
8,True,900,1600,25,40,5,68.0%,70.3,-644,-0.24061,-1.49439,-1.29932,0.49,0.577,5.727,124.0,31.8,100000,62461
9,True,900,1600,25,40,5,68.0%,92.0,-254,-1.10028,-1.38471,-1.18616,0.513,0.548,6.215,111.15,8.35,100000,57439
10,True,900,1600,25,40,5,68.0%,87.75,-548,0.06107,-0.60827,-1.24377,1.426,2.154,6.827,99.75,14.15,100000,59765
11,False,900,1600,25,40,5,64.0%,0.0,-1,,,,,,,,,100000,0
12,True,900,1600,25,40,5,68.0%,86.25,-506,-0.74997,-0.62629,-1.24747,0.642,0.548,6.787,106.75,7.95,100000,59925
13,True,900,1600,25,40,5,68.0%,62.6,-534,0.01481,-0.91263,-1.13358,0.737,0.957,6.745,109.8,23.25,100000,55205
14,False,900,1600,25,40,5,64.0%,0.0,0,,,,,,,,,100000,0
15,True,900,1600,25,40,5,68.0%,73.45,-358,-1.06744,-1.37354,-1.12442,0.5,0.445,6.891,121.15,21.75,100000,54683
16,True,900,1600,25,40,5,67.0%,63.45,-260,-0.01619,-1.07334,-1.35598,0.509,0.548,6.282,115.4,7.75,100000,49807
17,True,900,1600,25,40,5,69.0%,55.2,-303,-0.71519,-1.05045,-1.21228,0.511,0.577,6.512,127.8,7.3,100000,63607
18,True,900,1600,25,40,5,69.0%,57.7,-337,-0.38955,-0.90809,-1.14913,0.505,0.577,5.855,124.0,12.85,100000,66193
19,True,900,1600,25,40,5,67.0%,90.5,-216,0.07746,-1.37788,-1.25738,3.665,10.347,7.139,106.65,10.15,100000,46421
20,True,900,1600,25,40,5,69.0%,55.7,-378,-0.48819,-1.41376,-1.19223,2.205,nan,6.04,113.3,7.0,100000,64011
21,True,900,1600,25,40,5,67.0%,55.25,-288,-0.43549,0.16225,-1.29722,0.594,0.519,6.399,107.6,21.2,100000,47579
22,False,900,1600,25,40,5,64.0%,0.0,-1,,,,,,,,,100000,0
23,True,900,1600,25,40,5,69.0%,53.95,-371,-0.80828,-1.32676,-1.16604,0.501,0.548,6.224,115.5,17.2,100000,64803
24,True,900,1600,25,40,5,68.0%,78.05,-296,-0.83736,-0.25483,-1.13721,0.504,0.3,6.132,105.1,16.35,100000,52126
25,True,900,1600,25,40,5,68.0%,76.45,-167,-0.40035,-0.86354,-1.16788,0.512,0.548,6.232,118.25,5.95,100000,56715
26,False,900,1600,25,40,5,64.0%,0.0,0,,,,,,,,,100000,0
27,True,900,1600,25,40,5,68.0%,76.4,-509,-0.10332,0.90984,-1.11744,2.251,0.707,6.524,114.35,22.35,100000,52944
28,True,900,1600,25,40,5,68.0%,58.35,-320,-0.07172,-1.63593,-1.24687,0.519,nan,6.422,120.75,5.1,100000,59899
29,True,900,1600,25,40,5,67.0%,90.75,-225,-0.0894,-0.7756,-1.23733,0.511,0.548,6.889,120.65,18.55,100000,45899
30,False,900,1600,25,40,5,64.0%,0.0,-1,,,,,,,,,100000,0
31,True,900,1600,25,40,5,68.0%,90.55,-523,-0.56312,-1.16476,-1.11424,0.57,0.577,7.148,121.8,33.7,100000,53508
32,True,900,1600,25,40,5,68.0%,85.85,-233,0.38772,-0.82591,-1.2111,0.689,0.756,5.53,110.8,19.9,100000,58421
33,True,900,1600,25,40,5,68.0%,95.0,-196,0.34859,-0.96646,-1.13539,0.661,1.054,6.724,111.1,12.4,100000,52175
34,False,900,1600,25,40,5,64.0%,0.0,-1,,,,,,,,,100000,0
35,True,900,1600,25,40,5,68.0%,77.2,-392,-0.25773,-1.12566,-1.17944,0.534,0.591,6.316,100.8,10.3,100000,57175
36,True,900,1600,25,40,5,68.0%,90.15,-194,-0.15766,-1.20629,-1.15715,0.831,0.609,6.273,120.75,25.5,100000,56276
37,True,900,1600,25,40,5,69.0%,53.2,-251,-0.80343,-1.51468,-1.21731,0.535,0.5,5.944,120.45,15.05,100000,63520
38,True,900,1600,25,40,5,68.0%,57.4,-374,-0.32254,-0.81643,-1.25104,0.588,0.603,6.304,113.15,15.75,100000,60081
39,True,900,1600,25,40,5,68.0%,60.6,-227,-0.12538,-0.62873,-1.23739,0.603,nan,6.495,111.9,16.5,100000,59494
40,False,900,1600,25,40,5,64.0%,0.0,0,,,,,,,,,100000,0
41,True,900,1600,25,40,5,67.0%,61.9,-341,0.33554,-0.65524,-1.24954,0.493,0.479,6.559,97.85,12.35,100000,46213
42,True,900,1600,25,40,5,68.0%,62.05,-315,-0.43387,-1.32941,-1.18483,0.607,0.577,6.635,120.95,19.15,100000,57387
43,False,900,1600,25,40,5,64.0%,0.0,-1,,,,,,,,,100000,0
44,True,900,1600,25,40,5,67.0%,83.5,-284,-0.31753,-1.40747,-1.27377,0.782,0.084,6.063,112.2,37.45,100000,46875
45,True,900,1600,25,40,5,68.0%,61.25,-318,-0.52165,-0.99654,-1.23922,0.5,nan,5.948,119.7,6.7,100000,59571
46,True,900,1600,25,40,5,68.0%,90.45,-390,0.14396,-1.45324,-1.16055,0.512,nan,6.583,109.1,10.45,100000,56417
47,True,900,1600,25,40,5,67.0%,91.55,-309,-0.12619,-0.93245,-1.26946,0.708,0.548,6.731,112.25,27.0,100000,46753
48,True,900,1600,25,40,5,68.0%,70.6,-346,0.13256,-1.54276,-1.17889,0.522,0.577,6.295,111.95,11.9,100000,57153
49,True,900,1600,25,40,5,68.0%,81.05,-249,-0.36309,-1.43838,-1.15477,0.683,0.474,6.667,125.95,26.8,100000,56176
50,False,900,1600,25,40,5,64.0%,0.0,0,,,,,,,,,100000,0
51,True,900,1600,25,40,5,68.0%,89.8,-360,-0.48638,-1.06516,-1.12706,0.915,0.548,6.276,113.4,13.7,100000,54846
52,True,900,1600,25,40,5,68.0%,67.55,-311,-1.27188,-0.93136,-1.16343,0.692,0.577,6.218,121.7,25.55,100000,56535
53,True,900,1600,25,40,5,68.0%,56.45,-342,0.09459,-1.45741,-1.19013,0.789,0.503,6.557,110.65,19.35,100000,57595
54,True,900,1600,25,40,5,67.0%,55.15,-329,0.45577,0.83769,-1.28146,0.588,0.849,6.764,114.55,6.75,100000,47098
55,True,900,1600,25,40,5,68.0%,55.1,-159,0.36084,0.2985,-1.16346,0.536,0.577,6.373,124.9,13.0,100000,56536
56,True,900,1600,25,40,5,67.0%,74.4,-504,-0.08451,-1.15978,-1.35159,0.628,0.577,6.488,121.15,10.0,100000,49605
57,False,900,1600,25,40,5,64.0%,0.0,0,,,,,,,,,100000,0
58,True,900,1600,25,40,5,69.0%,55.9,-228,-1.19478,-0.8394,-1.17144,0.521,0.505,6.37,122.3,15.65,100000,64596
59,True,900,1600,25,40,5,67.0%,67.4,-207,-0.49424,-1.45483,-1.1589,0.599,0.701,6.764,108.55,14.6,100000,44083
60,False,900,1600,25,40,5,64.0%,0.0,0,,,,,,,,,100000,0
61,True,900,1600,25,40,5,68.0%,68.35,-668,0.85179,5.09461,-1.12543,6.631,nan,6.528,119.75,15.45,100000,54747
62,True,900,1600,25,40,5,68.0%,66.65,-424,-0.22049,-1.26818,-1.18651,0.778,0.177,6.451,109.3,8.6,100000,57453
63,True,900,1600,25,40,5,68.0%,84.5,-109,-0.44472,-0.81725,-1.22284,1.086,2.418,5.972,127.0,24.05,100000,58893
64,False,900,1600,25,40,5,64.0%,0.0,0,,,,,,,,,100000,0
65,False,900,1600,25,40,5,64.0%,0.0,0,,,,,,,,,100000,0
66,True,900,1600,25,40,5,69.0%,92.65,-170,0.00023,-1.17785,-1.16984,0.522,0.577,6.477,126.35,8.2,100000,64654
67,True,900,1600,25,40,5,67.0%,92.75,-341,0.16967,-0.48664,-1.27031,0.669,0.757,7.278,98.15,16.45,100000,46777
68,True,900,1600,25,40,5,68.0%,66.7,-440,-0.33601,-0.49884,-1.26308,0.905,0.548,6.667,112.25,11.6,100000,60623
69,True,900,1600,25,40,5,68.0%,90.7,-550,0.48027,-0.98365,-1.12224,0.609,0.577,6.196,119.75,7.35,100000,54535
70,True,900,1600,25,40,5,68.0%,80.15,-199,-0.50558,-0.85862,-1.27954,0.634,0.741,6.854,127.0,12.15,100000,50457
71,True,900,1600,25,40,5,68.0%,92.15,-218,-0.32903,-1.15114,-1.13495,8.828,0.577,6.528,107.15,26.35,100000,52187
72,True,900,1600,25,40,5,68.0%,92.45,-204,-0.9462,-1.44608,-1.11522,0.51,0.548,6.697,114.65,18.15,100000,53187
73,True,900,1600,25,40,5,68.0%,62.45,-298,-0.97708,-0.73983,-1.24713,1.208,0.584,6.972,129.9,10.3,100000,59910
74,False,900,1600,25,40,5,64.0%,0.0,-1,,,,,,,,,100000,0
75,True,900,1600,25,40,5,68.0%,90.75,-423,-0.04862,-0.02566,-1.24063,0.486,0.481,6.322,111.2,18.85,100000,59631
76,True,900,1600,25,40,5,69.0%,54.65,-779,-0.40053,-0.93686,-1.16859,0.582,nan,5.987,109.4,11.7,100000,68825
77,True,900,1600,25,40,5,67.0%,91.95,-205,0.48456,-1.15384,-1.34426,0.537,nan,6.249,118.5,10.25,100000,49285
78,True,900,1600,25,40,5,67.0%,93.15,-181,0.48189,-0.80615,-1.02559,0.519,nan,6.815,102.1,9.1,100000,40168
79,True,900,1600,25,40,5,67.0%,59.2,-152,-1.04806,-1.00267,-1.30784,1.058,0.577,6.447,126.25,19.0,100000,47924
