Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
300,True,900,1600,1,45,1,65.08%,67.9,-500,-0.31011,0.10515,-1.20276,0.653,nan,5.893,106.5,23.0,112500,67560
301,True,900,1600,1,45,1,65.04%,91.8,-317,-0.52213,-1.59122,-1.20096,1.983,3.514,6.842,116.6,29.15,112500,67110
302,True,900,1600,1,45,1,64.92%,71.15,-308,0.29426,0.11623,-1.19798,0.566,0.577,6.87,114.05,15.15,112500,58847
303,True,900,1600,1,45,1,64.92%,57.95,-226,-0.3421,-1.23593,-1.20259,0.604,0.472,7.019,111.2,23.9,112500,59799
304,True,900,1600,1,45,1,64.64%,93.7,-317,0.55209,-0.40213,-1.19614,1.224,0.514,6.793,85.0,16.9,112500,41374
305,True,900,1600,1,45,1,65.12%,68.05,-519,-0.99809,-1.48643,-1.19863,0.511,0.577,5.84,113.5,13.2,112500,71362
306,True,900,1600,1,45,1,65.16%,67.7,-712,-0.11504,-1.08067,-1.20162,0.568,0.577,7.189,110.8,16.95,112500,74798
307,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
308,True,900,1600,1,45,1,65.0%,59.05,-420,-0.80081,-1.59667,-1.20317,0.601,0.471,6.793,119.05,11.6,112500,64945
309,True,900,1600,1,45,1,65.0%,55.6,-768,0.19989,-1.28229,-1.19846,0.524,nan,7.578,95.15,12.05,112500,63351
310,True,900,1600,1,45,1,65.0%,54.65,-561,-0.86343,-1.22398,-1.20047,0.519,0.548,6.008,118.35,12.15,112500,62889
311,True,900,1600,1,45,1,65.0%,56.7,-372,0.11025,-1.31669,-1.19924,1.556,nan,6.273,109.75,6.3,112500,63114
312,True,900,1600,1,45,1,65.12%,65.2,-475,-0.43214,-1.23855,-1.20235,0.543,0.577,6.106,99.2,9.05,112500,72411
313,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
314,True,900,1600,1,45,1,65.0%,54.9,-559,-0.27015,2.59173,-1.19975,0.513,nan,6.089,120.75,10.7,112500,64349
315,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
316,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
317,True,900,1600,1,45,1,64.76%,60.25,-315,-0.2925,-0.69223,-1.19763,0.531,0.577,6.935,115.4,22.35,112500,48995
318,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
319,True,900,1600,1,45,1,64.84%,65.0,-226,-0.17919,-0.3476,-1.202,0.509,0.548,6.976,120.5,11.7,112500,54668
320,True,900,1600,1,45,1,64.88%,56.55,-251,-0.35838,-0.61308,-1.20204,0.572,0.548,5.726,131.3,16.45,112500,57198
321,True,900,1600,1,45,1,65.04%,76.15,-315,-0.97356,-1.5269,-1.19842,5.084,0.354,6.464,115.0,7.5,112500,65943
322,True,900,1600,1,45,1,64.88%,92.45,-441,-0.14376,-0.82554,-1.2026,0.983,nan,6.371,114.95,22.0,112500,57271
323,True,900,1600,1,45,1,65.0%,90.65,-507,-0.37948,0.01793,-1.19838,12.105,0.577,5.622,106.7,10.95,112500,63386
324,True,900,1600,1,45,1,64.88%,92.75,-151,-0.43181,-0.99238,-1.1983,1.655,nan,6.428,127.05,12.7,112500,55755
325,True,900,1600,1,45,1,65.16%,61.6,-668,-0.34288,3.19285,-1.20116,0.507,0.548,5.904,115.55,12.7,112500,72745
326,True,900,1600,1,45,1,64.92%,53.55,-185,-0.48033,-0.94797,-1.19886,0.545,0.577,5.753,108.7,7.4,112500,58157
327,True,900,1600,1,45,1,65.0%,90.3,-86,-0.39432,-0.4073,-1.20308,0.654,0.577,6.199,103.5,19.85,112500,64932
328,True,900,1600,1,45,1,64.8%,75.2,-267,1.1079,-1.25674,-1.19726,1.502,0.594,7.096,118.45,19.3,112500,51294
329,True,900,1600,1,45,1,64.72%,81.7,-279,0.07405,-1.0088,-1.19707,0.484,nan,7.22,99.4,36.95,112500,45807
330,True,900,1600,1,45,1,65.0%,64.85,-449,-0.63399,-0.6067,-1.20247,0.592,0.707,6.055,103.95,21.1,112500,64842
331,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
332,True,900,1600,1,45,1,64.88%,66.15,-399,-0.77093,-1.1857,-1.1976,0.653,nan,6.789,117.95,12.6,112500,56175
333,True,900,1600,1,45,1,64.64%,58.95,-242,0.0429,-0.59419,-1.1979,0.735,nan,7.334,98.55,8.05,112500,40596
334,True,900,1600,1,45,1,64.84%,70.1,-332,-0.72333,-1.17647,-1.19741,0.514,0.577,6.022,129.6,12.3,112500,53727
335,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
336,True,900,1600,1,45,1,64.88%,89.35,-480,0.37685,-1.50369,-1.1976,0.516,0.548,6.54,106.2,7.65,112500,56094
337,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
338,True,900,1600,1,45,1,65.16%,66.75,-320,-0.34452,-1.30364,-1.20192,0.508,0.577,6.345,119.15,10.15,112500,74859
339,True,900,1600,1,45,1,64.8%,76.05,-382,0.03366,-0.97491,-1.20561,0.755,nan,7.464,112.7,13.9,112500,50023
340,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
341,True,900,1600,1,45,1,64.96%,60.25,-591,-0.60787,-0.84254,-1.19893,0.685,0.707,6.163,108.0,17.4,112500,61655
342,True,900,1600,1,45,1,64.88%,77.35,-275,-1.01666,-1.24688,-1.20133,0.62,0.577,6.83,118.7,14.95,112500,57102
343,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
344,True,900,1600,1,45,1,65.2%,55.6,-636,-0.30354,-1.50818,-1.20181,0.927,1.364,5.806,114.05,14.95,112500,77361
345,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
346,True,900,1600,1,45,1,64.92%,71.6,-492,-0.38977,-1.51039,-1.19852,3.45,0.577,6.521,97.15,21.25,112500,58238
347,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
348,True,900,1600,1,45,1,65.04%,71.9,-224,-0.20506,-1.0165,-1.19844,0.523,nan,6.143,120.65,22.9,112500,66375
349,True,900,1600,1,45,1,64.84%,66.3,-725,-0.09665,-0.08379,-1.19934,0.645,0.577,6.483,104.15,7.8,112500,54283
350,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
351,True,900,1600,1,45,1,65.12%,90.95,-180,-0.15228,-1.29529,-1.19922,0.509,nan,6.175,115.0,22.05,112500,70676
352,True,900,1600,1,45,1,64.84%,63.8,-273,-0.28198,-0.81982,-1.20392,0.714,nan,6.749,119.75,11.65,112500,52602
353,True,900,1600,1,45,1,64.96%,55.85,-429,-0.24665,-0.68786,-1.19908,0.519,0.548,6.298,108.75,6.95,112500,61694
354,True,900,1600,1,45,1,64.96%,65.9,-388,-0.29628,-0.73289,-1.19824,0.62,0.577,6.026,102.1,17.95,112500,60886
355,True,900,1600,1,45,1,65.04%,70.0,-668,-0.44054,-1.34062,-1.20028,0.64,0.595,6.275,119.45,15.2,112500,66970
356,True,900,1600,1,45,1,65.12%,93.5,-696,-0.32764,-1.75638,-1.19922,0.511,nan,6.269,113.95,22.05,112500,71671
357,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
358,True,900,1600,1,45,1,65.28%,58.05,-393,-0.52101,1.20947,-1.19972,0.701,0.975,6.424,111.4,10.5,112500,80564
