Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
876,True,900,1600,1,45,1,65.08%,56.15,-354,-0.39155,-1.07636,-1.19848,1.612,0.577,6.198,108.25,9.9,112500,68821
877,True,900,1600,1,45,1,64.96%,60.25,-262,-0.08695,-1.28738,-1.20314,0.637,0.707,6.885,105.85,14.3,112500,62406
878,True,900,1600,1,45,1,65.0%,65.65,-713,-0.6023,-1.24444,-1.199,5.369,0.707,6.43,102.85,24.0,112500,63174
879,True,900,1600,1,45,1,65.16%,65.1,-497,-0.20861,-1.23049,-1.19957,0.496,nan,6.02,105.8,25.1,112500,74283
880,True,900,1600,1,45,1,64.92%,77.0,-637,-0.13516,1.18545,-1.1978,1.252,0.577,6.486,89.9,8.5,112500,58618
881,True,900,1600,1,45,1,64.96%,71.25,-620,-0.43124,-1.36849,-1.19802,0.538,0.548,6.759,117.55,9.0,112500,61035
882,True,900,1600,1,45,1,65.16%,78.35,-724,-0.56965,2.64793,-1.19971,2.853,7.211,6.024,109.55,19.4,112500,74328
883,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
884,True,900,1600,1,45,1,65.04%,90.8,-300,0.34116,-0.83446,-1.20285,0.877,0.548,6.589,108.0,19.1,112500,65073
885,True,900,1600,1,45,1,65.04%,63.4,-395,-0.2125,-0.31012,-1.19858,0.781,0.548,6.23,121.75,22.85,112500,65853
886,True,900,1600,1,45,1,64.88%,73.0,-161,0.27704,-1.13557,-1.20155,3.018,8.202,6.486,103.15,8.45,112500,55280
887,True,900,1600,1,45,1,65.0%,57.35,-240,0.28325,-0.741,-1.19854,0.503,nan,6.159,110.1,17.6,112500,63318
888,True,900,1600,1,45,1,65.12%,92.2,-144,0.06796,-0.8269,-1.20028,2.006,nan,6.045,114.55,13.2,112500,71984
889,True,900,1600,1,45,1,65.04%,72.1,-348,-0.22044,-0.72411,-1.20042,4.976,0.577,6.767,118.4,26.85,112500,67001
890,True,900,1600,1,45,1,64.76%,92.1,-281,-0.37835,-1.38914,-1.19688,0.615,0.577,6.642,99.8,12.45,112500,48484
891,True,900,1600,1,45,1,65.28%,91.95,-563,-0.50847,0.74068,-1.19935,0.536,0.744,5.848,110.0,16.6,112500,81653
892,True,900,1600,1,45,1,65.0%,78.0,-360,-0.64653,-0.977,-1.19842,0.489,0.458,6.751,125.8,21.05,112500,63932
893,True,900,1600,1,45,1,64.96%,52.85,-724,0.4365,-0.50556,-1.19882,0.785,0.548,6.238,112.7,13.05,112500,60692
894,True,900,1600,1,45,1,64.96%,64.8,-442,-0.31621,-0.97175,-1.20125,0.518,0.504,6.507,112.6,23.9,112500,62127
895,True,900,1600,1,45,1,64.92%,89.25,-305,-0.11186,-1.34641,-1.20248,0.518,0.577,6.351,116.35,13.4,112500,59785
896,True,900,1600,1,45,1,65.04%,68.05,-667,-0.83182,-1.59384,-1.20267,0.581,0.915,5.847,129.05,19.3,112500,67405
897,True,900,1600,1,45,1,64.96%,76.3,-405,-0.48153,-0.495,-1.20138,0.59,nan,6.864,95.85,10.05,112500,60275
898,True,900,1600,1,45,1,64.88%,63.9,-305,-0.78558,-1.0797,-1.20162,3.188,0.577,6.876,109.25,12.75,112500,55273
899,True,900,1600,1,45,1,64.88%,92.15,-364,0.11745,-1.37008,-1.1997,1.78,0.514,6.188,103.15,20.0,112500,56843
900,True,900,1600,1,45,1,64.84%,81.9,-198,-0.17238,0.07633,-1.19839,0.518,0.537,6.933,115.35,18.7,112500,54091
901,True,900,1600,1,45,1,65.08%,76.45,-305,-0.51874,-0.4213,-1.20311,0.79,0.548,5.871,116.9,19.3,112500,67520
902,True,900,1600,1,45,1,65.2%,92.1,-284,-0.17967,-0.97451,-1.19881,0.516,0.577,6.2,101.7,8.65,112500,76374
903,True,900,1600,1,45,1,65.0%,58.85,-536,-0.53921,-1.2553,-1.20097,0.5,0.236,6.457,102.2,10.15,112500,62816
904,True,900,1600,1,45,1,64.84%,72.6,-282,-0.05194,-1.25248,-1.19928,0.637,0.459,7.007,103.35,20.55,112500,54272
905,True,900,1600,1,45,1,65.04%,57.35,-455,0.22467,-0.52204,-1.19868,0.51,0.548,6.533,112.15,13.45,112500,66505
906,True,900,1600,1,45,1,64.92%,59.9,-227,0.17264,-0.89281,-1.19804,2.314,nan,6.728,112.0,14.55,112500,58879
907,True,900,1600,1,45,1,65.12%,62.2,-1298,-0.50808,2.80194,-1.20246,0.78,0.584,6.225,110.95,20.05,112500,72431
908,True,900,1600,1,45,1,64.84%,91.15,-267,-0.51213,-1.1775,-1.20061,0.563,0.577,7.029,97.35,5.55,112500,54483
909,True,900,1600,1,45,1,64.96%,91.45,-390,-0.3904,-1.45798,-1.20375,0.567,0.518,6.875,110.55,21.45,112500,62488
910,True,900,1600,1,45,1,64.96%,91.2,-259,0.18149,-1.31782,-1.19807,0.669,nan,5.955,123.0,5.75,112500,60982
911,True,900,1600,1,45,1,65.04%,61.6,-360,0.25836,-1.71943,-1.20209,0.5,nan,6.411,117.9,14.4,112500,67311
912,True,900,1600,1,45,1,65.16%,67.1,-1043,-0.43642,1.35297,-1.19901,0.482,0.577,6.138,102.6,13.9,112500,74057
913,True,900,1600,1,45,1,64.92%,92.35,-460,-0.53262,-1.23068,-1.20165,1.219,3.367,6.534,90.35,20.05,112500,59668
914,True,900,1600,1,45,1,65.04%,55.35,-585,-0.87619,-1.13816,-1.20317,0.69,0.485,6.359,105.8,8.35,112500,67481
915,True,900,1600,1,45,1,65.08%,70.75,-472,-0.70899,-1.57443,-1.20062,0.653,0.577,6.638,104.2,17.8,112500,67855
916,True,900,1600,1,45,1,64.92%,68.2,-382,-0.79839,-0.33906,-1.2008,0.511,0.577,5.924,106.15,8.5,112500,59537
917,True,900,1600,1,45,1,65.32%,75.35,-956,-0.18656,-1.15938,-1.1996,0.5,0.548,5.58,121.85,8.25,112500,83117
918,True,900,1600,1,45,1,64.92%,78.4,-622,0.38847,-1.21978,-1.20166,0.513,nan,6.534,102.3,20.05,112500,59669
919,True,900,1600,1,45,1,64.8%,60.25,-388,-0.09161,-0.37203,-1.20157,0.512,0.577,6.999,108.8,5.1,112500,52093
920,True,900,1600,1,45,1,64.84%,94.4,-191,-0.52352,-0.93782,-1.19763,1.052,2.272,7.033,89.35,10.7,112500,53401
921,True,900,1600,1,45,1,64.84%,54.4,-233,0.63117,-0.97354,-1.1974,2.475,nan,6.753,107.0,14.0,112500,53716
922,True,900,1600,1,45,1,65.0%,63.25,-478,0.05983,-1.11139,-1.20273,0.642,0.493,6.937,109.25,11.15,112500,62609
923,True,900,1600,1,45,1,65.16%,57.65,-606,0.45183,-1.25688,-1.19873,0.522,nan,6.113,104.45,2.5,112500,73450
924,True,900,1600,1,45,1,65.04%,91.3,-328,-0.25986,-0.86587,-1.20195,0.751,nan,6.087,109.2,8.95,112500,67288
