Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
267,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
268,True,900,1600,1,45,1,65.08%,85.45,-487,-0.61025,-1.40064,-1.20061,0.511,0.548,6.828,107.85,9.3,112500,67856
269,True,900,1600,1,45,1,64.92%,90.9,-468,-0.17215,-0.54104,-1.20402,0.5,0.014,6.828,118.45,18.3,112500,57541
270,True,900,1600,1,45,1,64.96%,82.65,-565,-0.35085,0.4311,-1.20364,0.51,0.577,6.477,101.75,22.9,112500,62473
271,True,900,1600,1,45,1,65.08%,66.25,-427,0.23657,-1.30274,-1.19858,0.678,nan,6.097,107.4,12.2,112500,68902
272,True,900,1600,1,45,1,64.92%,74.05,-279,-0.22066,-1.53725,-1.20089,0.558,0.577,6.312,107.7,18.2,112500,57843
273,True,900,1600,1,45,1,64.96%,56.7,-332,1.02492,-0.89569,-1.20319,0.648,0.577,6.952,110.4,15.4,112500,62413
274,True,900,1600,1,45,1,64.88%,83.8,-332,0.0271,-1.08968,-1.19802,0.524,0.548,7.059,114.3,17.45,112500,55835
275,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
276,True,900,1600,1,45,1,65.04%,91.4,-409,-0.03418,-1.57738,-1.19915,0.523,nan,5.812,125.85,12.85,112500,65656
277,True,900,1600,1,45,1,64.96%,90.05,-475,-0.82,-1.0839,-1.19872,0.551,nan,5.981,115.75,24.85,112500,61593
278,True,900,1600,1,45,1,64.92%,82.65,-499,-0.00955,-1.03893,-1.1989,1.663,1.558,6.512,99.45,32.4,112500,59166
279,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
280,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
281,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
282,True,900,1600,1,45,1,64.84%,52.6,-512,0.0464,-1.08787,-1.1992,0.537,0.577,6.618,101.75,14.35,112500,54259
283,True,900,1600,1,45,1,64.88%,77.5,-790,0.25572,-1.74602,-1.20294,0.536,0.577,6.465,107.85,18.15,112500,57313
284,True,900,1600,1,45,1,64.88%,68.4,-219,-0.75053,-0.31959,-1.20183,0.512,0.577,6.282,124.35,12.35,112500,57170
285,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
286,True,900,1600,1,45,1,64.88%,59.05,-452,-0.4916,-1.39429,-1.1976,0.738,0.548,6.815,106.35,6.2,112500,56079
287,True,900,1600,1,45,1,65.04%,75.4,-622,0.31188,-1.36562,-1.20054,0.574,0.496,6.386,110.05,14.7,112500,65373
288,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
289,True,900,1600,1,45,1,64.96%,81.2,-323,0.04209,-0.7303,-1.20182,0.724,0.476,6.451,113.45,17.25,112500,62216
290,True,900,1600,1,45,1,65.0%,75.1,-373,-0.75462,-1.55883,-1.20013,0.589,nan,6.037,118.5,14.5,112500,62943
291,True,900,1600,1,45,1,64.8%,54.35,-321,1.99438,-1.31412,-1.19739,0.651,0.577,6.493,118.25,14.9,112500,51355
292,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
293,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
294,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
295,True,900,1600,1,45,1,65.04%,53.1,-235,-0.45553,0.58865,-1.2001,0.614,0.577,6.295,123.75,9.8,112500,66931
296,True,900,1600,1,45,1,65.12%,94.2,-1041,-0.82233,1.82574,-1.19937,0.518,0.612,5.936,112.4,14.7,112500,71724
297,True,900,1600,1,45,1,65.0%,53.45,-348,-0.35778,-0.84054,-1.20377,0.604,0.577,6.353,110.6,16.7,112500,62507
298,True,900,1600,1,45,1,64.84%,87.1,-213,-0.38894,-1.08737,-1.19996,0.501,0.577,6.325,113.45,13.75,112500,54387
299,True,900,1600,1,45,1,64.88%,61.25,-449,-0.43746,-1.29257,-1.19769,1.305,2.645,6.004,120.8,25.15,112500,55987
300,True,900,1600,1,45,1,64.92%,90.4,-367,0.23409,-1.11867,-1.19866,1.015,nan,7.001,112.0,17.75,112500,58203
301,True,900,1600,1,45,1,64.92%,91.85,-260,-0.60212,-1.27596,-1.19786,2.414,0.577,6.74,98.85,15.7,112500,58513
302,True,900,1600,1,45,1,64.96%,53.1,-256,-1.04879,-0.81937,-1.20207,0.495,0.548,6.253,123.05,8.55,112500,60198
303,True,900,1600,1,45,1,64.84%,93.95,-311,0.43901,-1.16372,-1.19778,0.87,0.591,6.179,111.35,15.8,112500,53918
304,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
305,True,900,1600,1,45,1,64.92%,92.1,-337,-0.31964,-1.15128,-1.19931,0.553,0.495,6.168,121.45,31.65,112500,59262
306,True,900,1600,1,45,1,65.08%,59.0,-394,-0.28947,-0.51384,-1.19949,2.752,0.502,5.908,121.3,10.8,112500,69273
307,True,900,1600,1,45,1,65.08%,77.9,-256,-0.4191,-0.84087,-1.20144,0.488,nan,6.402,119.05,21.1,112500,69719
308,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
