Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
369,True,900,1600,1,45,1,65.04%,58.0,-424,-0.38259,-0.70619,-1.20078,0.663,nan,5.829,110.6,13.05,112500,67075
370,True,900,1600,1,45,1,64.88%,62.4,-402,0.01296,-1.34652,-1.19759,1.218,0.894,6.263,97.9,19.5,112500,56101
371,True,900,1600,1,45,1,65.12%,63.05,-614,-0.02428,-1.39245,-1.19952,0.5,0.471,6.187,112.05,10.9,112500,71773
372,True,900,1600,1,45,1,64.84%,86.05,-311,-0.46017,-0.83773,-1.19737,0.548,0.64,6.5,112.65,22.8,112500,53674
373,True,900,1600,1,45,1,64.88%,64.7,-408,0.55771,0.65583,-1.19978,0.51,0.548,7.105,107.95,9.45,112500,56858
374,True,900,1600,1,45,1,64.88%,91.45,-672,-0.27393,1.47167,-1.19762,0.576,0.808,6.465,103.7,10.05,112500,56053
375,True,900,1600,1,45,1,64.92%,73.5,-752,-0.37587,-0.70008,-1.1983,0.634,0.577,6.408,101.75,20.85,112500,58988
376,True,900,1600,1,45,1,64.88%,67.75,-366,1.12374,-1.13272,-1.20243,0.572,0.909,6.506,111.95,12.0,112500,57249
377,True,900,1600,1,45,1,65.08%,70.15,-466,0.42249,-1.07636,-1.19985,0.599,0.823,6.521,103.1,17.85,112500,68001
378,True,900,1600,1,45,1,64.88%,70.85,-357,0.28908,-1.11389,-1.20256,0.522,nan,6.791,108.15,2.7,112500,57266
379,True,900,1600,1,45,1,65.0%,69.55,-491,-0.11008,-1.5559,-1.19814,0.507,0.485,6.338,106.65,12.4,112500,63696
380,True,900,1600,1,45,1,64.88%,67.75,-244,1.31629,-1.35597,-1.20004,0.571,0.707,6.47,113.55,15.8,112500,55451
381,True,900,1600,1,45,1,64.88%,63.05,-245,-0.38526,-1.0997,-1.20415,0.54,0.548,6.667,113.3,16.2,112500,57455
382,True,900,1600,1,45,1,65.0%,87.9,-378,0.25129,-1.00181,-1.19846,0.775,nan,6.383,105.0,25.45,112500,63952
383,True,900,1600,1,45,1,64.92%,53.25,-403,0.29177,-0.89423,-1.19817,0.603,0.675,6.442,108.3,3.35,112500,58347
384,True,900,1600,1,45,1,65.0%,64.55,-479,0.17647,-1.23794,-1.20286,2.689,nan,5.933,102.15,17.75,112500,64901
385,True,900,1600,1,45,1,64.92%,92.1,-430,-0.25592,-0.84468,-1.20012,0.603,nan,6.96,110.55,20.5,112500,59422
386,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
387,True,900,1600,1,45,1,65.0%,55.9,-571,0.82781,-0.2108,-1.20167,0.511,0.548,6.444,115.45,5.75,112500,64716
388,True,900,1600,1,45,1,65.04%,90.65,-373,0.08034,-1.64548,-1.2018,0.607,0.577,6.03,114.15,18.9,112500,67262
389,True,900,1600,1,45,1,65.2%,56.85,-486,-0.62694,-1.63732,-1.19926,0.601,0.548,5.66,107.05,14.5,112500,76651
390,True,900,1600,1,45,1,64.92%,59.6,-318,-0.40499,-1.37192,-1.19796,0.541,0.548,5.832,105.55,16.05,112500,58835
391,True,900,1600,1,45,1,64.8%,92.5,-295,-0.59932,-0.64593,-1.19709,0.659,nan,6.253,112.5,15.85,112500,51150
