Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
1,False,900,1600,2,40,1,64.0%,0.0,0,,,,,,,,,100000,0
2,False,900,1600,2,40,1,64.0%,0.0,0,,,,,,,,,100000,0
3,False,900,1600,2,40,1,64.0%,0.0,0,,,,,,,,,100000,0
4,False,900,1600,2,40,1,64.0%,0.0,0,,,,,,,,,100000,0
5,True,900,1600,2,40,1,65.68%,60.35,-342,-0.7038,-1.49675,-1.1982,0.536,0.707,6.068,121.0,16.35,100000,53235
6,True,900,1600,2,40,1,65.84%,63.55,-481,-0.25968,-1.47233,-1.19812,0.531,0.548,6.473,113.2,16.0,100000,58918
7,True,900,1600,2,40,1,65.52%,92.3,-206,0.0361,-0.85695,-1.20113,0.522,nan,6.268,106.15,9.95,100000,47846
8,True,900,1600,2,40,1,65.52%,76.35,-246,-0.14199,0.40861,-1.20557,0.721,0.545,6.405,90.65,21.4,100000,47557
9,False,900,1600,2,40,1,64.0%,0.0,-1,,,,,,,,,100000,0
10,True,900,1600,2,40,1,66.0%,92.7,-453,0.34236,-0.93826,-1.19943,2.397,1.041,6.522,108.1,6.3,100000,64272
11,True,900,1600,2,40,1,66.32%,64.05,-553,-0.45944,-0.7288,-1.20123,0.596,nan,6.317,112.5,8.3,100000,72733
12,False,900,1600,2,40,1,64.0%,0.0,0,,,,,,,,,100000,0
13,True,900,1600,2,40,1,65.76%,92.7,-482,-0.26037,-1.70811,-1.20035,0.563,0.548,6.629,117.3,26.05,100000,56954
14,False,900,1600,2,40,1,64.0%,0.0,0,,,,,,,,,100000,0
15,False,900,1600,2,40,1,64.0%,0.0,0,,,,,,,,,100000,0
16,True,900,1600,2,40,1,66.08%,56.45,-610,-0.48322,-1.57535,-1.20115,0.642,nan,6.743,102.05,11.1,100000,65282
17,True,900,1600,2,40,1,65.44%,93.95,-354,0.10518,0.37144,-1.1969,0.512,0.577,6.882,99.5,19.85,100000,45847
18,True,900,1600,2,40,1,65.84%,62.4,-411,-0.78188,-1.68177,-1.19897,0.846,0.577,6.63,117.3,12.0,100000,58134
19,True,900,1600,2,40,1,65.92%,90.4,-582,0.11232,-0.1333,-1.20319,0.51,0.577,6.536,124.4,10.7,100000,62413
20,True,900,1600,2,40,1,65.6%,91.65,-348,0.15913,-1.33762,-1.19811,0.512,0.577,6.821,102.85,10.15,100000,50711
21,True,900,1600,2,40,1,65.84%,93.5,-410,0.07006,-0.74107,-1.1978,0.522,0.577,7.603,98.15,13.5,100000,58680
22,False,900,1600,2,40,1,64.0%,0.0,-1,,,,,,,,,100000,0
23,True,900,1600,2,40,1,65.92%,64.65,-480,-0.13981,-1.10792,-1.19798,2.636,0.577,5.962,114.35,13.75,100000,61186
24,False,900,1600,2,40,1,64.0%,0.0,0,,,,,,,,,100000,0
25,True,900,1600,2,40,1,65.92%,89.75,-540,0.09029,7.64439,-1.20096,2.922,1.025,5.763,116.55,19.3,100000,62078
26,True,900,1600,2,40,1,65.36%,62.2,-219,-0.20773,-1.01935,-1.19916,2.015,0.577,7.093,119.15,7.1,100000,44281
27,False,900,1600,2,40,1,64.0%,0.0,0,,,,,,,,,100000,0
28,False,900,1600,2,40,1,64.0%,0.0,0,,,,,,,,,100000,0
29,True,900,1600,2,40,1,65.68%,75.35,-137,-0.16667,-0.88245,-1.2047,0.672,0.551,6.454,104.35,24.25,100000,54972
30,False,900,1600,2,40,1,64.0%,0.0,-1,,,,,,,,,100000,0
31,False,900,1600,2,40,1,64.0%,0.0,-1,,,,,,,,,100000,0
32,False,900,1600,2,40,1,64.0%,0.0,0,,,,,,,,,100000,0
