Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
295,True,900,1600,50,35,5,68.0%,70.2,-174,0.71718,-1.25475,-1.40951,8.84,nan,7.135,107.75,26.0,87500,34740
296,True,900,1600,50,35,5,72.0%,88.5,-150,0.90791,-1.00521,-1.2148,0.644,nan,7.026,105.3,14.45,87500,50973
297,True,900,1600,50,35,5,68.0%,74.75,-325,-0.16894,0.86014,-1.41619,0.517,0.59,7.366,120.15,26.75,87500,34883
298,True,900,1600,50,35,5,70.0%,99.95,-182,0.37241,-1.68186,-1.20492,0.641,0.823,6.295,112.8,33.75,87500,45114
299,True,900,1600,50,35,5,70.0%,66.8,-236,0.03949,-0.94052,-1.02885,0.498,0.344,7.048,114.6,12.95,87500,40832
300,True,900,1600,50,35,5,70.0%,86.15,-553,-0.83243,0.14392,-1.31987,0.514,0.527,6.501,109.2,22.7,87500,48339
301,True,900,1600,50,35,5,72.0%,91.7,-89,-0.55554,-0.42058,-1.11931,0.561,0.591,6.045,115.15,7.3,87500,54308
302,True,900,1600,50,35,5,70.0%,74.15,-215,-0.41684,-0.13542,-1.06417,0.743,0.577,7.509,117.55,9.05,87500,39249
303,True,900,1600,50,35,5,68.0%,92.5,-192,1.02502,0.05953,-1.37844,1.37,0.577,7.118,110.0,10.75,87500,34136
304,True,900,1600,50,35,5,70.0%,92.0,-227,-0.37544,-1.17181,-1.35265,0.5,nan,6.134,116.55,25.3,87500,49653
305,True,900,1600,50,35,5,68.0%,91.25,-198,1.50814,0.20365,-1.49401,1.072,1.89,6.962,116.05,24.05,87500,37215
306,True,900,1600,50,35,5,70.0%,55.25,-235,-1.02503,-0.51499,-1.27405,8.369,nan,7.249,130.15,11.1,87500,46883
307,True,900,1600,50,35,5,74.0%,54.3,-271,-0.89103,-1.08374,-1.16667,0.551,0.577,6.214,127.8,6.95,87500,64777
308,True,900,1600,50,35,5,70.0%,75.1,-151,-0.50716,-1.21652,-1.35483,0.905,0.495,6.566,106.9,27.35,87500,49753
309,True,900,1600,50,35,5,70.0%,89.45,-359,-0.09603,-1.36606,-1.04884,0.549,0.548,5.89,99.15,22.9,87500,39464
310,True,900,1600,50,35,5,70.0%,53.55,-263,-0.0687,0.01566,-1.23001,0.571,0.577,6.197,114.3,15.15,87500,45716
311,True,900,1600,50,35,5,72.0%,88.55,-485,-0.66064,1.23344,-1.13517,0.602,0.577,6.353,105.15,15.05,87500,52181
312,True,900,1600,50,35,5,70.0%,55.35,-211,-0.34612,-0.94032,-1.12857,0.508,0.535,6.922,115.25,28.45,87500,43430
313,True,900,1600,50,35,5,72.0%,70.6,-279,-0.32323,-1.27419,-1.14297,0.65,0.577,6.376,124.5,17.35,87500,51986
314,True,900,1600,50,35,5,72.0%,62.15,-232,-0.48445,-1.29851,-1.11634,0.615,0.548,6.241,114.5,22.7,87500,53046
315,True,900,1600,50,35,5,70.0%,87.85,-118,-0.17031,-0.95543,-1.20646,0.688,0.232,6.429,119.15,26.65,87500,45150
316,True,900,1600,50,35,5,70.0%,71.7,-343,-0.77767,-0.85304,-1.20932,0.677,0.548,6.099,121.95,22.2,87500,45217
317,True,900,1600,50,35,5,70.0%,54.7,-197,-0.52743,-0.36336,-1.18046,4.361,0.076,6.758,130.25,8.55,87500,44557
318,True,900,1600,50,35,5,70.0%,85.1,-198,-0.75028,-1.19428,-1.02781,0.975,0.851,6.908,114.25,32.65,87500,40014
319,True,900,1600,50,35,5,70.0%,58.75,-121,0.15761,-0.71363,-1.39665,0.584,0.577,7.649,113.75,17.0,87500,37720
320,True,900,1600,50,35,5,70.0%,57.75,-145,-1.17537,-0.63426,-1.1963,0.698,0.577,6.224,130.45,18.2,87500,44915
321,True,900,1600,50,35,5,70.0%,90.0,-219,0.32962,-0.46878,-1.34814,0.563,0.548,6.817,107.15,25.55,87500,49452
322,True,900,1600,50,35,5,72.0%,61.45,-254,0.08495,-1.39366,-1.14074,0.605,0.707,6.857,115.6,12.95,87500,52038
323,False,900,1600,50,35,5,64.0%,0.0,0,,,,,,,,,87500,0
324,True,900,1600,50,35,5,70.0%,68.75,-133,-0.96458,-0.49478,-1.28841,0.64,0.583,6.643,123.65,23.6,87500,47306
325,True,900,1600,50,35,5,70.0%,70.85,-392,0.77621,-0.45203,-1.04338,0.556,0.349,7.288,115.65,14.05,87500,39561
326,True,900,1600,50,35,5,70.0%,66.4,-124,0.81263,-0.23313,-1.03208,0.574,0.25,7.37,114.95,15.8,87500,39839
