Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,516,64.0%,105.03,0,-0.55818,-0.35296,0,8.795,3.003,8.558,37.25,26.15
1,516,64.0%,99.93,-5,0.37724,0.0412,0,11.012,2.233,10.548,36.35,36.1
2,516,64.0%,100.3,-4,-0.27958,-0.32152,0,14.091,3.449,15.044,35.65,26.2
3,516,64.0%,103.92,1,1.28217,-0.67201,0,8.623,4.145,9.766,37.8,22.75
4,516,64.0%,99.6,-9,-0.3927,0.34629,0,5.178,8.673,8.554,27.15,22.8
5,516,64.0%,92.56,-12,-0.80427,-0.72559,0,5.848,8.878,5.583,28.45,15.05
6,516,64.0%,98.55,9,0.68732,-1.01553,0,2.323,1.901,10.694,32.8,16.8
7,516,64.0%,94.45,-10,-0.47715,-0.70758,0,2.848,1.365,5.799,31.15,29.9
8,516,64.0%,98.85,-11,-0.78016,-0.7385,0,7.678,0.548,12.777,22.35,16.1
9,516,64.0%,99.0,-2,0.06064,-0.05327,0,4.055,0.548,3.656,35.55,33.35
10,516,64.0%,93.7,-8,-0.49601,-1.13718,0,6.925,0.577,4.487,38.6,21.35
11,516,64.0%,98.14,-44,-0.62309,-1.57889,0,1.337,0.577,11.059,32.1,19.95
12,516,64.0%,91.28,-51,-0.66274,0.02503,0,11.693,0.535,7.774,30.7,18.4
13,516,64.0%,95.59,-44,-0.45706,-0.40844,0,0.851,0.5,6.983,30.25,20.75
14,516,64.0%,96.01,-48,-0.71073,-1.02931,0,2.031,0.943,5.132,28.05,17.15
15,516,64.0%,97.34,-51,-0.20129,-0.32546,0,1.124,0.502,8.08,31.8,22.5
16,516,64.0%,93.34,-68,-0.57737,-0.45788,0,0.717,0.756,4.413,27.8,14.55
17,516,64.0%,97.17,-68,-0.36319,-1.18356,0,1.689,0.979,5.887,20.05,19.05
18,516,64.0%,96.38,-61,-0.76994,-0.71258,0,3.904,1.453,7.414,27.2,23.0
19,516,64.0%,98.08,-40,0.32054,-0.65784,0,2.431,0.577,2.952,29.55,26.65
20,516,64.0%,91.77,-43,-1.01276,-0.72216,0,9.87,0.516,7.723,31.25,24.85
21,516,64.0%,91.79,-80,-1.02071,-0.0423,0,10.814,0.548,6.004,32.0,16.25
22,516,64.0%,92.67,-68,-0.04463,-0.80153,0,7.542,1.526,7.149,31.0,20.2
23,516,64.0%,77.26,-81,-1.04086,-0.56363,0,0.812,0.85,2.366,38.6,27.6
24,516,66.0%,87.87,-60,-0.24097,-0.67398,-0.25256,3.304,0.577,3.842,32.75,18.85
25,516,66.0%,87.69,-64,-0.47712,0.16171,0,2.086,0.5,2.362,27.45,16.55
26,516,66.0%,89.21,-70,-0.51978,-0.40355,0,1.004,0.5,4.885,30.4,17.25
27,516,66.0%,91.8,-69,-0.95054,-1.0877,0,1.457,nan,6.394,28.9,18.0
28,516,66.0%,79.86,-79,-1.46395,-1.43474,0,9.446,8.073,6.308,51.05,24.25
29,516,66.0%,82.11,-76,-1.17566,-1.21536,0,1.187,0.756,8.324,45.85,23.7
30,516,66.0%,94.51,-72,0.1082,0.63092,0,1.818,nan,8.979,28.45,11.35
