Trade Number,Market Price,Excess Demand,Speculator Proportion,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
60454,33.35,-618,64.96,nan,nan,nan,1.033,nan,0.0,15.45
60455,33.35,-622,64.96,nan,nan,nan,0.655,nan,0.0,15.45
60456,30.45,-622,64.96,nan,nan,nan,0.655,0.707,2.9,18.35
60457,30.45,-622,64.96,nan,nan,nan,0.655,0.707,2.9,18.35
60458,30.45,-622,64.96,nan,nan,nan,0.655,0.707,2.9,18.35
60459,30.45,-622,64.96,nan,nan,nan,0.657,0.707,2.9,18.35
60460,30.45,-622,64.96,nan,nan,nan,0.662,0.707,2.9,18.35
60461,30.45,-622,64.96,nan,nan,nan,0.671,0.707,2.9,18.35
60462,30.45,-622,64.96,nan,nan,nan,0.671,0.707,2.9,18.35
60463,30.45,-621,64.96,nan,nan,nan,0.671,0.707,2.9,18.35
60464,30.45,-621,64.96,nan,nan,nan,0.671,nan,2.9,18.35
60465,30.45,-621,64.96,nan,nan,nan,0.674,nan,2.9,18.35
60466,30.45,-621,64.96,nan,nan,nan,0.684,nan,2.9,18.35
60467,30.45,-621,64.96,nan,nan,nan,0.684,nan,2.9,18.35
60468,30.45,-621,64.96,nan,nan,nan,0.684,nan,2.9,18.35
60469,30.45,-621,64.96,nan,nan,nan,0.687,nan,2.9,18.35
60470,30.45,-621,64.96,nan,nan,nan,0.699,nan,2.9,18.35
60471,30.45,-621,64.96,nan,nan,nan,0.703,nan,2.9,18.35
60472,30.45,-621,64.96,nan,nan,nan,0.693,nan,2.9,18.35
60473,30.45,-620,64.96,nan,nan,nan,0.546,nan,2.9,18.35
60474,30.45,-620,64.96,nan,nan,nan,0.553,nan,2.9,14.0
60475,30.45,-627,64.96,nan,nan,nan,0.552,nan,2.9,14.0
60476,27.4,-627,64.96,nan,nan,nan,0.547,0.707,5.95,17.05
60477,27.4,-627,64.96,nan,nan,nan,0.547,0.707,5.95,17.05
60478,27.4,-626,64.96,nan,nan,nan,0.547,0.577,5.95,17.05
60479,28.85,-626,64.96,nan,nan,nan,0.513,0.577,5.95,14.3
60480,28.85,-625,64.96,nan,nan,nan,0.514,0.577,5.95,14.3
60481,28.85,-625,64.96,nan,nan,nan,0.514,0.577,5.95,14.3
60482,28.85,-625,64.96,nan,nan,nan,0.514,0.577,5.95,14.3
60483,28.85,-625,64.96,nan,nan,nan,0.516,0.577,5.95,10.55
60484,28.85,-625,64.96,nan,nan,nan,0.516,0.577,5.95,10.55
60485,28.85,-624,64.96,nan,nan,nan,0.516,0.707,5.95,10.55
60486,28.85,-624,64.96,nan,nan,nan,0.516,0.707,5.95,10.55
60487,28.85,-624,64.96,nan,nan,nan,0.516,nan,5.95,10.55
60488,28.85,-623,64.96,nan,nan,nan,0.516,nan,5.95,10.55
60489,28.85,-623,64.96,nan,nan,nan,0.516,nan,5.95,10.55
60490,28.85,-623,64.96,nan,nan,nan,0.516,nan,5.95,10.55
60491,28.85,-649,64.96,nan,nan,nan,0.514,nan,5.95,10.55
60492,26.65,-649,64.96,nan,nan,nan,0.514,0.707,6.7,11.3
60493,26.65,-648,64.96,nan,nan,nan,0.514,0.707,6.7,11.3
60494,26.65,-648,64.96,nan,nan,nan,0.514,0.707,6.7,11.3
60495,26.65,-648,64.96,nan,nan,nan,0.514,0.707,6.7,11.3
60496,26.65,-648,64.96,nan,nan,nan,0.514,0.707,6.7,11.3
60497,26.65,-648,64.96,nan,nan,nan,0.514,0.707,6.7,11.3
60498,26.65,-648,64.96,nan,nan,nan,0.514,0.707,6.7,11.3
60499,26.65,-648,64.96,nan,nan,nan,0.514,0.707,6.7,11.3
60500,26.65,-647,64.96,nan,nan,nan,0.514,nan,6.7,11.3
60501,26.65,-647,64.96,nan,nan,nan,0.516,nan,6.7,9.4
60502,26.65,-647,64.96,nan,nan,nan,0.516,nan,6.7,9.4
60503,26.65,-647,64.96,nan,nan,nan,0.516,nan,6.7,9.4
60504,26.65,-646,64.96,nan,nan,nan,0.516,nan,6.7,9.4
60505,26.65,-646,64.96,nan,nan,nan,0.516,nan,6.7,9.4
60506,26.65,-647,64.96,nan,nan,nan,0.514,nan,6.7,9.4
60507,25.7,-647,64.96,nan,nan,nan,0.514,0.707,7.65,10.35
60508,25.7,-647,64.96,nan,nan,nan,0.516,0.707,7.65,10.35
60509,25.7,-647,64.96,nan,nan,nan,0.516,0.707,7.65,10.35
60510,25.7,-647,64.96,nan,nan,nan,0.516,0.707,7.65,10.35
60511,25.7,-647,64.96,nan,nan,nan,0.516,0.707,7.65,10.35
60512,25.7,-647,64.96,nan,nan,nan,0.516,0.707,7.65,10.35
60513,25.7,-647,64.96,nan,nan,nan,0.519,0.707,7.65,10.35
60514,25.7,-647,64.96,nan,nan,nan,0.519,0.707,7.65,10.35
60515,25.7,-646,64.96,nan,nan,nan,0.516,0.707,7.65,10.35
60516,27.2,-646,64.96,nan,nan,nan,0.516,0.707,7.65,10.35
60517,27.2,-646,64.96,nan,nan,nan,0.516,0.707,7.65,10.35
60518,27.2,-645,64.96,nan,nan,nan,0.514,0.577,7.65,10.35
60519,27.3,-645,64.96,nan,nan,nan,0.514,0.577,7.65,10.35
60520,27.3,-645,64.96,nan,nan,nan,0.516,0.577,7.65,10.35
60521,27.3,-645,64.96,nan,nan,nan,0.516,0.577,7.65,10.35
60522,27.3,-654,64.96,nan,nan,nan,0.516,0.548,7.65,10.35
60523,24.95,-653,64.96,nan,nan,nan,0.516,0.548,8.4,8.4
60524,24.95,-652,64.96,nan,nan,nan,0.516,0.548,8.4,8.4
60525,24.95,-651,64.96,nan,nan,nan,0.516,0.577,8.4,8.4
60526,24.95,-651,64.96,nan,nan,nan,0.516,0.577,8.4,8.4
60527,24.95,-650,64.96,nan,nan,nan,0.516,0.577,8.4,8.4
60528,24.95,-650,64.96,nan,nan,nan,0.516,0.707,8.4,8.4
60529,24.95,-678,64.96,nan,nan,nan,0.514,0.577,8.4,8.4
60530,22.4,-677,64.96,nan,nan,nan,0.552,0.739,10.95,10.95
60531,23.6,-676,64.96,nan,nan,nan,0.547,0.62,10.95,10.95
60532,23.6,-676,64.96,nan,nan,nan,0.547,0.751,10.95,10.95
60533,23.6,-676,64.96,nan,nan,nan,0.547,0.751,10.95,10.95
60534,23.6,-676,64.96,nan,nan,nan,0.547,0.751,10.95,10.95
60535,23.6,-676,64.96,nan,nan,nan,0.547,0.751,10.95,10.95
60536,23.6,-676,64.96,nan,nan,nan,0.547,0.751,10.95,10.95
60537,23.6,-676,64.96,nan,nan,nan,0.547,0.751,10.95,10.95
60538,23.6,-676,64.96,nan,nan,nan,0.547,0.333,10.95,10.95
60539,23.6,-676,64.96,nan,nan,nan,0.547,nan,10.95,10.95
60540,23.6,-676,64.96,nan,nan,nan,0.547,nan,10.95,10.95
60541,23.6,-676,64.96,nan,nan,nan,0.547,nan,10.95,10.95
60542,23.6,-676,64.96,nan,nan,nan,0.547,nan,10.95,10.95
60543,23.6,-676,64.96,nan,nan,nan,0.547,nan,10.95,10.95
60544,23.6,-676,64.96,nan,nan,nan,0.547,nan,10.95,10.95
60545,23.6,-675,64.96,nan,nan,nan,0.547,nan,10.95,10.95
60546,23.6,-675,64.96,nan,nan,nan,0.547,nan,10.95,10.95
60547,23.6,-674,64.96,nan,nan,nan,0.547,nan,10.95,10.95
60548,23.6,-673,64.96,nan,nan,nan,0.547,nan,10.95,10.95
60549,23.6,-675,64.96,nan,nan,nan,0.547,nan,10.95,10.95
60550,21.75,-674,64.96,nan,nan,nan,0.552,0.841,11.6,11.6
60551,22.1,-674,64.96,nan,nan,nan,0.547,0.639,11.6,11.6
