Trade Number,Market Price,Excess Demand,Speculator Proportion,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
57705,22.45,-602,64.92,nan,nan,nan,0.607,nan,0.0,5.3
57706,22.45,-602,64.92,nan,nan,nan,0.607,nan,0.0,5.3
57707,22.45,-602,64.92,nan,nan,nan,0.607,nan,0.0,5.3
57708,22.45,-602,64.92,nan,nan,nan,0.609,nan,0.0,5.3
57709,22.45,-602,64.92,nan,nan,nan,0.618,nan,0.0,3.9
57710,22.45,-602,64.92,nan,nan,nan,0.621,nan,0.0,3.9
57711,22.45,-602,64.92,nan,nan,nan,0.632,nan,0.0,3.9
57712,22.45,-602,64.92,nan,nan,nan,0.635,nan,0.0,3.9
57713,22.45,-602,64.92,nan,nan,nan,0.649,nan,0.0,3.9
57714,22.45,-602,64.92,nan,nan,nan,0.649,nan,0.0,3.9
57715,22.45,-601,64.92,nan,nan,nan,0.649,nan,0.0,3.9
57716,22.45,-600,64.92,nan,nan,nan,0.649,nan,0.0,3.9
57717,22.45,-600,64.92,nan,nan,nan,0.649,nan,0.0,3.9
57718,22.45,-600,64.92,nan,nan,nan,0.649,nan,0.0,3.9
57719,22.45,-600,64.92,nan,nan,nan,0.654,nan,0.0,3.9
57720,22.45,-600,64.92,nan,nan,nan,0.672,nan,0.0,3.9
57721,22.45,-600,64.92,nan,nan,nan,0.672,nan,0.0,3.9
57722,22.45,-600,64.92,nan,nan,nan,0.672,nan,0.0,3.9
57723,22.45,-599,64.92,nan,nan,nan,0.672,nan,0.0,3.9
57724,22.45,-599,64.92,nan,nan,nan,0.672,nan,0.0,3.9
57725,22.45,-598,64.92,nan,nan,nan,0.672,nan,0.0,3.9
57726,22.45,-598,64.92,nan,nan,nan,0.672,nan,0.0,3.9
57727,22.45,-597,64.92,nan,nan,nan,0.663,nan,0.0,3.9
57728,22.85,-600,64.92,nan,nan,nan,1.124,2.828,0.4,3.9
57729,21.65,-600,64.92,nan,nan,nan,1.085,2.082,1.2,4.1
57730,21.65,-600,64.92,nan,nan,nan,1.085,2.082,1.2,4.1
57731,21.65,-600,64.92,nan,nan,nan,1.085,2.082,1.2,4.1
57732,21.65,-600,64.92,nan,nan,nan,1.085,2.082,1.2,4.1
57733,21.65,-600,64.92,nan,nan,nan,1.085,2.082,1.2,4.1
57734,21.65,-599,64.92,nan,nan,nan,1.085,2.082,1.2,4.1
57735,21.65,-599,64.92,nan,nan,nan,1.085,2.082,1.2,4.1
57736,21.65,-598,64.92,nan,nan,nan,1.067,2.082,1.2,4.1
57737,22.45,-598,64.92,nan,nan,nan,1.035,0.577,1.2,4.1
57738,22.45,-598,64.92,nan,nan,nan,1.049,0.707,1.2,4.1
57739,22.45,-597,64.92,nan,nan,nan,1.085,0.707,1.2,4.1
57740,22.45,-596,64.92,nan,nan,nan,1.102,0.707,1.2,4.1
57741,22.45,-596,64.92,nan,nan,nan,1.115,0.707,1.2,4.1
57742,22.45,-596,64.92,nan,nan,nan,1.115,0.707,1.2,4.1
