Trade Number,Market Price,Excess Demand,Speculator Proportion,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
59069,78.4,-174,64.92,nan,nan,nan,0.553,nan,0.0,5.0
59070,78.0,-176,64.92,nan,nan,nan,1.174,3.005,0.4,5.0
59071,75.9,-176,64.92,nan,nan,nan,1.155,2.788,2.5,7.1
59072,75.9,-175,64.92,nan,nan,nan,1.131,2.34,2.5,7.1
59073,77.35,-175,64.92,nan,nan,nan,1.115,2.182,2.5,7.1
59074,77.35,-174,64.92,nan,nan,nan,1.115,2.182,2.5,7.1
59075,77.35,-174,64.92,nan,nan,nan,1.115,2.182,2.5,7.1
59076,77.35,-180,64.92,nan,nan,nan,1.093,1.961,2.5,7.1
59077,73.25,-180,64.92,nan,nan,nan,1.079,1.864,5.15,9.75
59078,73.25,-180,64.92,nan,nan,nan,1.079,2.04,5.15,9.75
59079,73.25,-180,64.92,nan,nan,nan,1.079,0.548,5.15,9.75
59080,73.25,-180,64.92,nan,nan,nan,1.079,0.577,5.15,9.75
59081,73.25,-179,64.92,nan,nan,nan,1.079,0.577,5.15,9.75
59082,73.25,-179,64.92,nan,nan,nan,1.079,0.707,5.15,9.75
59083,73.25,-179,64.92,nan,nan,nan,1.079,0.707,5.15,9.75
59084,73.25,-179,64.92,nan,nan,nan,1.079,0.707,5.15,9.75
59085,73.25,-179,64.92,nan,nan,nan,1.079,nan,5.15,9.75
59086,73.25,-179,64.92,nan,nan,nan,1.099,nan,5.15,9.75
59087,73.25,-179,64.92,nan,nan,nan,1.095,nan,5.15,9.75
59088,73.25,-179,64.92,nan,nan,nan,1.109,nan,5.15,9.75
59089,73.25,-179,64.92,nan,nan,nan,1.109,nan,5.15,9.75
59090,73.25,-180,64.92,nan,nan,nan,1.109,nan,5.15,9.75
59091,73.25,-180,64.92,nan,nan,nan,1.109,nan,5.15,9.75
59092,73.25,-180,64.92,nan,nan,nan,1.134,nan,5.15,9.75
59093,73.25,-180,64.92,nan,nan,nan,1.151,nan,5.15,9.75
59094,73.25,-180,64.92,nan,nan,nan,1.151,nan,5.15,9.75
59095,73.25,-179,64.92,nan,nan,nan,1.179,nan,5.15,9.75
59096,73.25,-179,64.92,nan,nan,nan,1.199,nan,5.15,9.75
59097,73.25,-179,64.92,nan,nan,nan,1.199,nan,5.15,9.75
59098,73.25,-179,64.92,nan,nan,nan,1.199,nan,5.15,9.75
59099,73.25,-179,64.92,nan,nan,nan,1.199,nan,5.15,9.75
59100,73.25,-179,64.92,nan,nan,nan,1.199,nan,5.15,9.75
59101,73.25,-179,64.92,nan,nan,nan,1.199,nan,5.15,9.75
59102,73.25,-179,64.92,nan,nan,nan,1.199,nan,5.15,9.75
59103,73.25,-178,64.92,nan,nan,nan,1.199,nan,5.15,9.75
59104,73.25,-178,64.92,nan,nan,nan,1.199,nan,5.15,9.75
59105,73.25,-177,64.92,nan,nan,nan,1.199,nan,5.15,9.75
59106,73.25,-177,64.92,nan,nan,nan,1.199,nan,5.15,9.75
59107,73.25,-177,64.92,nan,nan,nan,1.232,nan,5.15,9.75
59108,73.25,-176,64.92,nan,nan,nan,1.219,nan,5.15,9.75
