Trade Number,Market Price,Excess Demand,Speculator Proportion,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
62236,63.7,-220,64.96,nan,nan,nan,0.5,0.707,0.0,7.25
62237,63.7,-220,64.96,nan,nan,nan,0.5,0.707,0.0,7.25
62238,63.7,-220,64.96,nan,nan,nan,0.5,0.707,0.0,7.25
62239,63.7,-220,64.96,nan,nan,nan,0.5,0.707,0.0,7.25
62240,63.7,-220,64.96,nan,nan,nan,0.5,0.707,0.0,7.25
62241,63.7,-220,64.96,nan,nan,nan,0.5,nan,0.0,7.25
62242,63.7,-219,64.96,nan,nan,nan,0.5,nan,0.0,7.25
62243,65.8,-219,64.96,nan,nan,nan,0.5,0.707,2.1,9.35
62244,65.8,-218,64.96,nan,nan,nan,0.5,0.707,2.1,9.35
62245,65.8,-218,64.96,nan,nan,nan,0.499,0.707,2.1,9.35
62246,65.8,-218,64.96,nan,nan,nan,0.5,0.707,2.1,9.35
62247,65.8,-218,64.96,nan,nan,nan,0.5,0.707,2.1,9.35
62248,65.8,-218,64.96,nan,nan,nan,0.5,0.707,2.1,9.35
62249,65.8,-218,64.96,nan,nan,nan,0.5,0.707,2.1,9.35
62250,65.8,-218,64.96,nan,nan,nan,0.5,0.707,2.1,9.35
62251,65.8,-218,64.96,nan,nan,nan,0.5,nan,2.1,9.35
62252,65.8,-218,64.96,nan,nan,nan,0.5,nan,2.1,9.35
62253,65.8,-218,64.96,nan,nan,nan,0.5,nan,2.1,9.35
62254,65.8,-218,64.96,nan,nan,nan,0.5,nan,2.1,9.35
62255,65.8,-218,64.96,nan,nan,nan,0.5,nan,2.1,9.35
62256,65.8,-218,64.96,nan,nan,nan,0.5,nan,2.1,9.35
62257,65.8,-218,64.96,nan,nan,nan,0.5,nan,2.1,9.35
62258,65.8,-218,64.96,nan,nan,nan,0.5,nan,2.1,9.35
62259,65.8,-218,64.96,nan,nan,nan,0.499,nan,2.1,9.35
62260,65.8,-217,64.96,nan,nan,nan,0.5,nan,2.1,9.35
62261,65.8,-217,64.96,nan,nan,nan,0.5,nan,2.1,9.35
62262,65.8,-217,64.96,nan,nan,nan,0.5,nan,2.1,9.35
62263,65.8,-217,64.96,nan,nan,nan,0.498,nan,2.1,9.35
62264,65.8,-216,64.96,nan,nan,nan,0.5,nan,2.1,9.05
62265,65.8,-215,64.96,nan,nan,nan,0.5,nan,2.1,9.05
62266,65.8,-215,64.96,nan,nan,nan,0.5,nan,2.1,9.05
62267,65.8,-214,64.96,nan,nan,nan,0.5,nan,2.1,9.05
62268,65.8,-214,64.96,nan,nan,nan,0.5,nan,2.1,9.05
62269,65.8,-214,64.96,nan,nan,nan,0.5,nan,2.1,9.05
62270,65.8,-214,64.96,nan,nan,nan,0.5,nan,2.1,9.05
62271,65.8,-214,64.96,nan,nan,nan,0.497,nan,2.1,9.05
62272,65.8,-213,64.96,nan,nan,nan,0.5,nan,2.1,8.9
62273,65.8,-213,64.96,nan,nan,nan,0.5,nan,2.1,8.9
62274,65.8,-213,64.96,nan,nan,nan,0.5,nan,2.1,8.9
62275,65.8,-213,64.96,nan,nan,nan,0.5,nan,2.1,8.9
62276,65.8,-213,64.96,nan,nan,nan,0.5,nan,2.1,8.9
62277,65.8,-213,64.96,nan,nan,nan,0.5,nan,2.1,8.9
62278,65.8,-215,64.96,nan,nan,nan,0.497,nan,2.1,8.9
62279,59.65,-214,64.96,nan,nan,nan,0.562,1.035,6.15,8.9
62280,62.5,-214,64.96,nan,nan,nan,0.552,0.748,6.15,8.9
62281,62.5,-214,64.96,nan,nan,nan,0.552,0.748,6.15,8.9
62282,62.5,-214,64.96,nan,nan,nan,0.552,0.748,6.15,8.9
62283,62.5,-214,64.96,nan,nan,nan,0.552,0.748,6.15,8.9
62284,62.5,-214,64.96,nan,nan,nan,0.552,0.748,6.15,8.9
62285,62.5,-213,64.96,nan,nan,nan,0.552,0.736,6.15,8.9
62286,66.9,-212,64.96,nan,nan,nan,0.545,0.66,7.25,10.0
62287,66.9,-212,64.96,nan,nan,nan,0.545,0.617,7.25,10.0
62288,66.9,-212,64.96,nan,nan,nan,0.545,0.577,7.25,10.0
62289,66.9,-212,64.96,nan,nan,nan,0.545,0.707,7.25,10.0
62290,66.9,-212,64.96,nan,nan,nan,0.541,0.707,7.25,10.0
62291,66.9,-211,64.96,nan,nan,nan,0.567,0.577,7.25,7.25
62292,67.55,-211,64.96,nan,nan,nan,0.567,0.577,7.9,7.9
62293,67.55,-211,64.96,nan,nan,nan,0.567,0.577,7.9,7.9
62294,67.55,-211,64.96,nan,nan,nan,0.567,0.577,7.9,7.9
