Trade Number,Market Price,Excess Demand,Speculator Proportion,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Trade Number STDV,Market Price STDV,Excess Demand STDV,Speculator Proportion STDV,Kurtosis MP STDV,Kurtosis ED STDV,Kurtosis SP STDV,MP Volatility Last 100 Trades STDV,MP Volatility Last 10 Trades STDV,Pre-CUSP Market Price Difference STDV,Last 100 Pre-CUSP Market Prices Difference STDV
59977.9375,59.50900423728824,-425.6186440677966,64.93720338983032,,,,1.2037637711864395,0.8923224222585899,29.616419491525416,12.781567796610176,8721.151745881702,20.12745941030665,172.34380889941488,0.1401656743275448,,,,2.3206064484258433,1.8557546007674932,10.867050011440345,6.622970130319065
59978.9375,59.56483050847467,-425.7023305084746,64.93720338983032,,,,1.2061822033898288,0.95069736842105,29.634480932203385,12.757415254237294,8721.151745881702,20.13794476233692,172.3363918147333,0.1401656743275448,,,,2.3255466868350294,2.2010062741710783,10.872682889017996,6.6219714930436355
59979.9375,59.59883474576279,-425.7680084745763,64.93724576271167,,,,1.2286790254237276,1.069684380032204,29.663029661016946,12.752754237288137,8721.151745881702,20.20151993144298,172.30163672732542,0.14016651335142857,,,,2.4106864523076665,2.91541498832812,10.87269480415067,6.612680249616534
59980.9375,59.56573093220343,-425.96610169491527,64.93728813559304,,,,1.2262637711864384,1.056909822866342,29.689565677966105,12.774999999999999,8721.151745881702,20.183621823940314,172.19078437531513,0.14015524695517537,,,,2.392960931663352,2.975888974732716,10.867831980261519,6.614102005486684
59981.9375,59.49295550847459,-425.96716101694915,64.93733050847439,,,,1.2132955508474565,1.0324976152623184,29.722563559322037,12.789141949152537,8721.151745881702,20.183090591385007,172.42158000699814,0.140143966841653,,,,2.3742330225756434,2.9675052138708122,10.876492172915189,6.631127339556205
59982.9375,59.53156779661014,-425.9650423728813,64.93733050847439,,,,1.2225201271186437,1.087385335413414,29.760911016949155,12.789088983050844,8721.151745881702,20.16359060012553,172.561042522953,0.140143966841653,,,,2.387877681462933,3.2457586633658644,10.889784301635633,6.633115242034904
59983.9375,59.57192796610169,-426.01588983050846,64.93733050847439,,,,1.2193019067796607,1.065499217527384,29.775317796610167,12.776324152542369,8721.151745881702,20.120333865079594,172.4718435681153,0.140143966841653,,,,2.381793378982707,3.374245935525579,10.886157091121026,6.592252639029363
59984.9375,59.5268008474576,-426.0243644067797,64.93733050847439,,,,1.2125317796610156,0.9544756671899507,29.7969279661017,12.76890889830508,8721.151745881702,20.143725811119406,172.47831612551855,0.140143966841653,,,,2.377583868988601,2.505873850243171,10.882793870464274,6.5913255122660805
59985.9375,59.49088983050846,-426.0074152542373,64.93737288135574,,,,1.202002118644068,0.9627060702875377,29.819491525423725,12.785116525423724,8721.151745881702,20.144834463557498,172.3955251914357,0.14018104496070094,,,,2.37034740400505,2.6593703204827945,10.890508197933201,6.605999166395784
59986.9375,59.43469279661016,-426.00529661016947,64.93737288135574,,,,1.2203697033898302,1.0885761904761877,29.846504237288134,12.771927966101694,8721.151745881702,20.10192161083111,172.3843107928885,0.14018104496070094,,,,2.3812468345931883,3.319725490143619,10.897282036733635,6.615060988091267
59987.9375,59.4382944915254,-425.9989406779661,64.93737288135574,,,,1.2201769067796624,1.0564520325203224,29.864671610169495,12.76827330508474,8721.151745881702,20.120946748218156,172.4550942499993,0.14018104496070094,,,,2.3829186654079813,3.50712836839693,10.908028419578384,6.593258408896984
59988.9375,59.43437499999997,-426.0,64.9374152542371,,,,1.2191016949152544,0.9009219269102964,29.87367584745763,12.710752118644054,8721.151745881702,20.135947833668588,172.52503502930932,0.14023018765593964,,,,2.3937983057561882,1.9326776329163124,10.91191563877016,6.539240934380449
59989.9375,59.456991525423675,-426.09322033898303,64.93745762711846,,,,1.235080508474576,0.9704991789819348,29.88887711864407,12.650794491525412,8721.151745881702,20.125383032883303,172.63196191919428,0.14021887515702555,,,,2.436838021339784,2.3000125602032973,10.912526972501754,6.516719606699563
59990.9375,59.42044491525418,-426.1006355932203,64.93754237288117,,,,1.2388771186440681,1.0252868988391353,29.898463983050853,12.641366525423718,8721.151745881702,20.105935027225165,172.48298073625648,0.14011155628476515,,,,2.4537741057438063,2.444424153402085,10.908445806236614,6.479585946927881
59991.9375,59.40301906779658,-426.146186440678,64.93762711864389,,,,1.2435794491525425,0.9781666666666639,29.902542372881364,12.632362288135583,8721.151745881702,20.097113638141728,172.47791502652566,0.1401493027495649,,,,2.4522882512903426,1.8824563196670823,10.908278223009228,6.464649949895162
59992.9375,59.40540254237285,-426.1726694915254,64.93762711864389,,,,1.2423548728813556,0.9424030100334424,29.927807203389843,12.652648305084744,8721.151745881702,20.121190092233388,172.45591077090666,0.1401493027495649,,,,2.4301828517461725,1.7569902767420706,10.914959828227147,6.490347981977403
59993.9375,59.41054025423726,-426.30402542372883,64.93766949152524,,,,1.2356281779661016,0.9008641571194739,29.957997881355947,12.66181144067796,8721.151745881702,20.124217076687746,172.73748619317794,0.14015001376157107,,,,2.412353006080018,1.7061716698925884,10.914827329433635,6.498390511493534
59994.9375,59.40031779661015,-426.39724576271186,64.93766949152524,,,,1.2294459745762705,1.028735483870965,29.984322033898323,12.657150423728805,8721.151745881702,20.137330544707307,172.6541562254026,0.14015001376157107,,,,2.3727372783341405,2.760205784351351,10.926732252523093,6.505668505709949
59995.9375,59.370286016949144,-426.4555084745763,64.9377118644066,,,,1.2263961864406772,0.9214533551554803,30.010010593220358,12.647351694915246,8721.151745881702,20.139835805014403,172.5727742932929,0.1400902313156889,,,,2.356579176490833,2.1370321411271513,10.93244049563344,6.532836580809667
59996.9375,59.33066737288132,-426.43220338983053,64.93775423728795,,,,1.2263961864406774,0.9074292604501585,30.028230932203407,12.605031779661012,8721.151745881702,20.121032603978776,172.6446447756818,0.14012720833565337,,,,2.3459674501915715,1.9019360378154806,10.935045615447814,6.511664777685972
59997.9375,59.360752118644065,-426.47351694915255,64.93775423728795,,,,1.2230169491525404,0.9272288961038937,30.05926906779663,12.584110169491519,8721.151745881702,20.116482521349887,172.7663300736652,0.14012720833565337,,,,2.3354096526038948,1.9257725413579192,10.931985965798528,6.514379194096155
