Window Num,Window Num STDV,Num Data Points in Row,Num Data Points in Row STDV,Speculator Proportion,Speculator Proportion STDV,Market Price,Market Price STDV,Excess Demand,Excess Demand STDV,Kurtosis MP,Kurtosis MP STDV,Kurtosis ED,Kurtosis ED STDV,Kurtosis SP,Kurtosis SP STDV,MP Volatility Last 100 Trades,MP Volatility Last 100 Trades STDV,MP Volatility Last 10 Trades,MP Volatility Last 10 Trades STDV,Overall Sim Volatility,Overall Sim Volatility STDV,Pre-CUSP Market Price Difference,Pre-CUSP Market Price Difference STDV,Last 100 Pre-CUSP Market Prices Difference,Last 100 Pre-CUSP Market Prices Difference STDV
0.0,0.0,623.7817796610169,87.18555513358537,0.6399999999999894,1.0658141036401503e-14,102.61667372881342,1.4309600885080767,-4.648305084745763,4.234047489602761,0.4573874364406783,0.6136032841988843,-0.21356735169491536,0.5460702608342285,0.0,0.0,10.188013771186435,5.209817022066327,7.00215466101695,9.122717247636109,10.563431144067799,2.4570674967973893,41.40460805084745,3.8797077000595412,25.985169491525415,6.6922757280633
1.0,0.0,623.7817796610169,87.18555513358537,0.6399999999999894,1.0658141036401503e-14,100.26190677966108,1.3743220084228405,-2.8516949152542375,5.108695363172769,0.3526476906779659,0.751501860443448,-0.2901988877118642,0.49611390763585334,0.0,0.0,10.002130296610169,5.211661382258003,7.003998940677959,8.883773216397426,11.005930084745756,2.3765128583440425,38.17637711864407,6.40672838931008,26.44846398305088,6.994113389915178
2.0,0.0,623.7817796610169,87.18555513358537,0.6399999999999894,1.0658141036401503e-14,100.19635593220345,1.448427063423638,-2.354872881355932,4.9928038877775816,0.39939336864406766,0.7977441141486286,-0.2716442690677965,0.49321975184329786,0.05862675847457627,0.6221813128679514,9.83975105932203,5.104899850079536,6.659240466101703,8.532466484413646,10.935491525423753,2.34859257573394,39.199629237288114,6.554328639086171,27.096874999999986,7.284451915189915
3.0,0.0,623.7817796610169,87.18555513358537,0.640061440677957,0.0001442266073840522,99.622065677966,1.8554971214529827,-2.452330508474576,5.514028226314645,0.2546499152542371,0.7032683880209686,-0.24943813559322023,0.5387372871288216,1.4843913771186463,10.336584018875612,8.261337923728814,5.170060779853107,5.283093517534544,8.177483986430149,10.442234110169501,2.5304969062297222,39.59623940677964,6.758757591762691,26.044862288135636,7.076606586925702
4.0,0.0,623.7817796610169,87.18555513358537,0.6403182203389807,0.00016131940816511026,97.38388771186449,2.523082388149735,-3.729872881355932,7.121383826965054,-0.035819385593220364,0.7248775238957258,-0.33412030720338987,0.5710378451734619,3.2843150953389815,15.35710155912013,6.657779661016945,5.176110366034128,3.944335820895516,8.23972042237013,8.715150423728813,2.8078729781980405,38.31800847457626,7.18733834423456,23.68903601694916,6.748775314415605
5.0,0.0,623.7817796610169,87.18555513358537,0.6403885593220333,6.667369851836774e-05,96.44769067796611,2.384964681381788,-5.827330508474576,8.321458303539336,-0.1592321292372883,0.7022978998901142,-0.3335090783898311,0.6022877516948433,0.3695203813559322,4.945501650588592,6.495861228813555,5.061292596216282,3.770409188034193,7.863069350540619,7.95073728813559,2.6817218595994743,35.871980932203385,6.984847128046451,22.656779661016948,6.528019920203172
6.0,0.0,623.7817796610169,87.18555513358537,0.6404186440677969,8.824960031826214e-05,96.15139830508481,2.2491700809893125,-6.630296610169491,9.248795931536648,-0.17772967161016973,0.7231727042467673,-0.29932480932203415,0.6050068836125816,0.5348944491525424,5.560007767780435,6.4098845338983015,5.191392595736319,3.2167017167381915,7.039254921576663,7.810958686440685,2.614732656674089,35.34120762711865,7.320120939952769,23.050476694915215,6.444440456891737
7.0,0.0,623.7817796610169,87.18555513358537,0.6405144067796638,0.00018075895726628495,95.65594279661012,2.7829850303102894,-7.615466101694915,10.507735961518373,-0.21808995762711864,0.6802912788101947,-0.3440462394067799,0.5958026896815144,2.079683866525423,21.25973235304907,6.236047669491528,5.1399913060145925,3.5630386266094405,8.325389192246258,7.545049788135597,2.5659018152881674,36.117425847457646,7.6875915210763575,22.857680084745763,6.385745913203346
8.0,0.0,623.7817796610169,87.18555513358537,0.6406733050847525,0.00018879436883273656,94.51794491525426,3.185274416299977,-10.15572033898305,11.940091856803619,-0.2721160911016951,0.6531251938102681,-0.3425226059322033,0.7069266771964258,1.6605422563559322,9.76286763290922,5.850167372881344,4.8905762319878665,2.9737282491944144,6.769921918948908,7.257777542372878,2.6079021573626964,36.43432203389835,6.922567183117026,23.072881355932175,6.079820466893116
9.0,0.0,623.7817796610169,87.18555513358537,0.6407644067796698,0.0001554247453897046,93.12677966101688,3.327039041243609,-13.753177966101696,12.628302994096275,-0.3730834957627122,0.5340791792870692,-0.3737073940677961,0.8407117991463718,0.5033869491525427,4.851336875437816,5.910453389830513,4.988173857237826,3.3299967880085624,7.451965281144404,7.127323093220347,2.629205023897344,36.61822033898304,7.112337961736576,23.099099576271204,6.184788331901385
10.0,0.0,623.7817796610169,87.18555513358537,0.6408423728813664,0.00017437869352675395,93.01700211864399,3.3150448037459395,-16.614406779661017,14.215861727242903,-0.3591426800847462,0.6137355029706968,-0.334274502118644,0.7218366315113841,1.133156694915254,12.394102245215324,5.4612913135593235,4.611721092527554,2.2575329018338754,5.254989035729574,7.056163135593223,2.5833436684660684,35.78569915254237,7.146831476030407,22.50127118644065,6.213810349700993
