Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,624,64.0%,102.67,-4,0.23865,-0.93401,0,5.065,4.127,7.504,47.4,27.05
1,624,64.0%,102.62,-1,0.38899,-0.20961,0,7.087,2.668,6.245,36.5,33.05
2,624,64.0%,99.52,1,0.75899,-0.59737,0,13.597,1.207,9.766,42.8,28.3
3,624,64.0%,99.18,2,0.12397,-0.62082,0,14.086,3.446,10.206,38.0,25.05
4,624,64.2%,95.17,-6,-0.2093,-0.97158,152.23313,9.798,7.232,7.017,47.25,22.4
5,624,64.2%,94.67,-4,-0.91049,-0.75532,0,3.065,5.475,7.387,27.7,26.95
6,624,64.2%,99.76,11,1.91108,-0.88191,0,8.074,0.755,6.286,37.3,17.65
7,624,64.2%,96.91,-9,0.62045,-0.30601,0,3.127,1.966,10.953,31.45,12.55
8,624,64.4%,94.79,-13,0.11582,-0.35786,73.6111,12.814,8.634,9.381,38.65,32.4
9,624,64.4%,82.66,-32,-1.08016,-0.5038,0,18.425,0.548,8.455,49.8,16.4
10,624,64.4%,86.37,-60,-0.5342,-0.63033,0,2.911,5.483,4.244,50.9,15.15
11,624,64.4%,91.6,-17,0.33358,0.07064,0,4.344,0.816,11.019,39.5,22.9
12,624,64.6%,91.96,-7,-0.86236,-0.34387,47.40823,8.782,9.74,7.909,33.35,21.35
13,624,64.6%,96.12,-11,-0.41603,0.34781,0,19.705,0.491,8.507,23.45,23.1
14,624,64.6%,96.3,-36,0.17304,0.46854,0,30.211,62.706,12.574,34.15,8.0
15,624,64.6%,94.57,-37,-1.04389,-0.94133,0,3.463,6.968,7.195,24.05,15.35
16,624,64.8%,86.38,-15,-0.74767,-0.39675,34.31022,1.725,0.661,6.032,37.75,18.65
17,624,64.8%,93.23,-10,0.49631,1.89356,0,0.994,0.627,2.462,35.6,23.25
18,624,64.8%,92.6,0,-0.50767,-0.45821,0,3.18,0.744,4.67,35.8,29.15
19,624,64.8%,94.45,-33,-0.88143,-0.746,0,11.744,0.548,9.62,30.4,16.95
20,624,65.0%,92.57,-15,0.6159,0.07089,26.45421,1.952,1.465,4.003,28.75,16.55
21,624,65.0%,92.08,-19,-1.12121,-0.84169,0,4.38,1.049,7.266,26.4,15.4
22,624,65.0%,83.51,-19,-1.05142,-0.00329,0,1.405,0.707,2.648,43.35,17.75
23,624,65.0%,93.38,-19,-0.48993,-1.40249,0,3.23,0.548,10.309,32.35,23.0
24,624,65.2%,85.42,-52,-0.68114,-0.02669,21.21924,2.629,0.491,7.35,42.6,20.1
25,624,65.2%,90.87,-47,0.57483,-0.16104,0,2.53,1.169,6.013,36.65,12.4
26,624,65.2%,90.18,-54,-0.17229,-0.37998,0,3.706,0.5,3.23,29.05,29.05
27,624,65.2%,86.97,-41,-1.29215,-0.87557,0,2.164,0.548,6.12,33.6,12.9
28,624,65.4%,90.75,-94,-0.02478,0.32719,17.48206,1.131,0.577,1.611,37.4,15.35
29,624,65.4%,91.69,-116,-1.5782,-0.27212,0,11.925,0.707,6.143,17.45,12.8
30,624,65.4%,82.21,-131,-1.08712,-0.17016,0,0.993,0.501,3.004,29.55,22.95
31,624,65.4%,76.78,-89,-1.16359,-0.85861,0,0.621,0.5,8.112,43.85,9.45
