Trade Number,Market Price,Excess Demand,Speculator Proportion,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
57600,49.55,-616,64.92,nan,nan,nan,0.641,nan,0.0,17.05
57601,49.55,-616,64.92,nan,nan,nan,0.641,nan,0.0,17.05
57602,49.55,-616,64.92,nan,nan,nan,0.641,nan,0.0,17.05
57603,49.55,-615,64.92,nan,nan,nan,0.637,nan,0.0,17.05
57604,51.7,-614,64.92,nan,nan,nan,0.634,0.707,2.15,19.2
57605,51.7,-614,64.92,nan,nan,nan,0.634,0.707,2.15,19.2
57606,51.7,-613,64.92,nan,nan,nan,0.634,0.707,2.15,19.2
57607,51.7,-613,64.92,nan,nan,nan,0.634,0.707,2.15,19.2
57608,51.7,-613,64.92,nan,nan,nan,0.634,0.707,2.15,19.2
57609,51.7,-613,64.92,nan,nan,nan,0.634,0.707,2.15,19.2
57610,51.7,-613,64.92,nan,nan,nan,0.634,0.707,2.15,19.2
57611,51.7,-613,64.92,nan,nan,nan,0.634,0.707,2.15,19.2
57612,51.7,-613,64.92,nan,nan,nan,0.634,nan,2.15,19.2
57613,51.7,-613,64.92,nan,nan,nan,0.637,nan,2.15,19.2
57614,51.7,-612,64.92,nan,nan,nan,0.505,nan,2.15,19.2
57615,51.7,-612,64.92,nan,nan,nan,0.503,nan,2.15,19.2
57616,51.7,-612,64.92,nan,nan,nan,0.503,nan,2.15,19.2
57617,51.7,-612,64.92,nan,nan,nan,0.503,nan,2.15,19.2
57618,51.7,-611,64.92,nan,nan,nan,0.503,nan,2.15,19.2
57619,51.7,-610,64.92,nan,nan,nan,0.502,nan,2.15,19.2
57620,52.95,-609,64.92,nan,nan,nan,0.543,0.651,3.4,20.45
57621,55.35,-609,64.92,nan,nan,nan,0.545,0.96,5.8,22.85
57622,55.35,-609,64.92,nan,nan,nan,0.545,0.96,5.8,22.85
57623,55.35,-610,64.92,nan,nan,nan,0.541,0.784,5.8,22.85
57624,52.15,-610,64.92,nan,nan,nan,0.546,0.808,5.8,22.85
57625,52.15,-609,64.92,nan,nan,nan,0.547,0.728,5.8,22.85
57626,55.35,-609,64.92,nan,nan,nan,0.547,0.734,5.8,22.85
57627,55.35,-609,64.92,nan,nan,nan,0.547,0.734,5.8,22.85
