Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,446,60.0%,104.6,-11,0.70582,-0.44485,0,6.002,2.691,12.602,37.45,14.9
1,446,60.0%,100.34,-9,0.68743,-0.62056,0,3.071,1.802,9.023,27.55,9.0
2,446,60.0%,99.01,-8,0.49132,1.60185,0,7.16,4.05,6.245,30.65,28.85
3,446,60.0%,99.82,-10,-0.36724,-0.2904,0,6.034,1.26,14.382,30.6,19.4
4,446,60.0%,99.26,-16,-0.72679,-0.53586,0,19.694,34.217,12.625,22.25,16.1
5,446,60.0%,98.2,-15,-1.00879,-0.32674,0,14.115,1.48,7.967,21.4,15.05
6,446,60.0%,97.79,6,0.56756,-0.51168,0,1.371,0.559,6.536,25.6,25.6
7,446,60.0%,100.53,-26,-0.02166,-0.80682,0,1.833,2.003,4.997,22.15,14.95
8,446,60.0%,97.96,-18,-0.55465,-0.71693,0,1.383,0.5,9.32,27.05,14.05
9,446,60.0%,97.79,-15,-1.12656,-0.29174,0,5.882,2.228,10.019,26.65,21.2
10,446,60.0%,93.41,-33,-1.07287,-0.75247,0,1.973,0.577,2.105,26.55,17.75
11,446,60.0%,94.6,-18,-0.91425,-1.26468,0,2.775,0.548,5.328,26.6,21.3
12,446,60.0%,95.45,-7,-0.47794,-0.52939,0,1.626,1.467,7.812,32.9,20.15
13,446,60.0%,93.21,-31,-0.35588,-0.60452,0,4.416,nan,3.505,32.7,20.8
14,446,60.0%,94.18,-22,-0.20074,-0.28188,0,4.865,0.548,9.78,28.65,28.2
15,446,60.0%,93.02,-15,-0.07197,-0.40415,0,0.794,0.837,3.945,27.9,21.95
16,446,60.0%,98.52,-23,-0.47038,-1.12965,0,11.792,20.673,5.88,31.4,17.95
17,446,60.0%,94.26,-19,0.09785,-0.38625,0,22.932,1.042,11.674,36.0,19.3
18,446,60.0%,99.73,-35,0.61344,1.24269,0,3.621,0.577,7.198,25.75,12.35
19,446,60.0%,97.46,-39,-1.4109,-0.88045,0,8.427,1.538,5.41,19.9,14.9
20,446,60.0%,96.42,-67,-0.63239,-0.95574,0,3.789,0.737,3.481,21.4,21.4
21,446,60.0%,96.49,-47,-0.56875,-0.63174,0,1.412,0.535,1.819,23.45,16.05
22,446,60.0%,94.06,-42,-0.97557,-0.86222,0,2.8,0.577,7.332,25.4,15.65
23,446,60.0%,96.37,-25,-0.42605,-0.94115,0,26.08,0.707,13.486,19.9,15.05
24,446,60.0%,96.87,-21,0.06886,-0.8172,0,2.299,0.527,10.153,22.9,19.2
25,446,60.0%,93.27,-30,-1.04829,-0.36811,0,6.48,0.707,4.655,29.2,19.55
26,446,60.0%,92.62,-28,-0.57651,-0.26552,0,7.273,0.566,6.408,26.1,15.85
27,446,60.0%,93.11,-23,-1.03006,-0.0876,0,2.306,3.262,8.122,23.35,18.55
28,446,65.0%,94.88,-24,-0.72777,-0.39775,32.57175,4.415,10.586,10.873,31.2,23.25
29,446,65.0%,96.54,-27,-0.84537,1.52428,0,1.789,0.535,1.346,22.95,14.35
30,446,65.0%,97.01,-49,-1.35308,-0.55403,0,3.181,nan,6.502,19.85,9.5
31,446,65.0%,94.45,-56,0.64961,2.01512,0,0.695,1.476,4.6,29.5,13.5
32,446,65.0%,91.52,-67,-0.10717,-1.16529,0,3.544,0.707,3.332,34.3,12.35
33,446,65.0%,82.99,-65,-1.0832,-0.55076,0,0.739,0.856,2.279,41.85,26.85
34,446,65.0%,85.16,-55,-0.96034,-0.92822,0,2.085,0.448,1.339,52.3,11.95
35,446,65.0%,96.46,-31,0.15476,-0.56028,0,12.804,1.68,6.056,22.3,15.95
36,446,65.0%,84.96,-32,-1.09444,-1.11422,0,1.917,0.548,2.716,27.95,20.9
37,446,65.0%,93.02,-31,-0.53734,-0.96556,0,9.752,0.853,5.38,25.6,21.25
38,446,65.0%,92.13,-44,0.73357,-0.63056,0,1.729,1.325,5.503,23.1,15.8
39,446,65.0%,70.36,-80,-0.86409,-0.50045,0,1.17,1.066,0.863,54.2,30.65
40,446,65.0%,66.74,-63,-0.58022,-1.04357,0,4.883,0.577,8.198,26.55,14.25
41,446,65.0%,91.17,-41,0.30182,-0.05869,0,8.5,1.223,9.201,30.95,19.5
42,446,65.0%,92.81,-5,-0.03156,-0.873,0,2.212,0.899,5.027,30.5,15.25
43,446,65.0%,92.93,-35,0.17666,-0.3221,0,0.659,0.894,0.821,25.95,20.05
44,446,65.0%,88.79,-49,-0.08859,-0.31881,0,0.946,0.587,2.103,31.9,31.0
