Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,647,64.0%,102.56,-1,1.29379,-0.97578,0,13.063,2.956,7.504,46.95,16.15
1,647,64.0%,101.21,-1,2.70378,-0.55415,0,17.215,6.9,9.519,47.15,32.4
2,647,64.0%,101.08,-4,0.64477,-0.47381,0,14.026,3.985,13.572,34.95,27.6
3,647,64.0%,100.52,-3,-0.02812,0.44704,2.53853,18.011,0.707,8.808,34.1,21.4
4,647,64.08%,97.28,-11,0.52537,-0.67106,0,22.762,57.587,10.152,42.25,20.05
5,647,64.08%,100.12,8,-0.29656,-0.75177,0,9.85,2.095,13.528,34.45,23.5
6,647,64.08%,97.63,-14,-0.60712,-0.9457,0,7.439,0.535,10.755,28.75,28.6
7,647,64.08%,94.93,-19,-0.34152,0.047,-0.94824,4.464,0.548,11.067,47.2,21.85
8,647,64.16%,85.06,-30,-1.23566,-0.79065,0,3.695,0.577,3.73,42.55,36.8
9,647,64.16%,91.41,-17,-0.52794,-0.44761,0,4.857,0.577,4.164,33.05,21.6
10,647,64.16%,90.73,-9,-0.61013,-1.02117,0,2.146,0.555,4.721,37.7,23.05
11,647,64.16%,97.26,-18,-0.22849,-0.53046,-1.86507,3.763,5.526,6.092,31.9,21.6
12,647,64.24%,94.59,-37,-0.83715,-0.34087,0,2.781,0.802,4.806,26.05,16.6
13,647,64.24%,98.53,0,-0.52959,-0.97994,0,1.227,0.529,6.878,28.45,20.45
14,647,64.24%,97.13,-31,-0.93113,-1.41314,0,1.649,0.577,12.871,33.8,20.65
15,647,64.32%,96.51,-19,-0.5306,-1.13703,-1.97468,5.437,0.514,4.811,33.6,21.2
16,647,64.32%,96.18,-26,-0.7057,0.7563,0,0.9,0.548,5.508,22.25,17.85
17,647,64.32%,92.84,-24,-0.76461,-0.42545,0,13.856,0.523,6.091,29.25,18.8
18,647,64.32%,95.85,-21,-0.29339,-1.44431,0,1.967,5.613,5.945,39.4,14.75
19,647,64.4%,88.2,-26,-0.66264,-0.65363,-1.40552,0.904,0.577,1.785,39.3,14.45
20,647,64.4%,94.02,-63,-0.55627,-0.91157,0,0.977,1.082,6.051,22.4,21.3
21,647,64.4%,85.52,-37,-0.49306,-0.91468,0,1.514,1.916,3.436,38.2,32.3
22,647,64.4%,73.96,-61,-0.79115,-1.2906,0,9.349,2.306,7.134,52.35,31.3
23,647,64.48%,86.45,-46,-0.63989,-0.54422,0.67683,1.291,1.7,5.143,33.95,32.6
24,647,64.48%,91.95,-32,0.25424,-0.50923,0,4.518,0.948,7.343,39.3,18.5
