Window Num,Num Data Points in Row,Speculator Proportion,Market Price,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference
0,671,64.0%,104.85,-4,0.43407,0.74289,0,6.587,1.869,10.316,42.85,29.3
1,671,64.0%,98.44,-10,0.38515,0.17655,0,6.666,1.289,10.25,39.5,16.55
2,671,64.0%,100.15,-3,-0.51201,-0.9894,0,5.524,1.441,10.053,29.3,23.45
3,671,64.0%,99.59,-9,-0.021,-0.4914,-0.97375,2.091,1.663,9.437,32.4,22.85
4,671,64.08%,96.99,-5,0.22074,0.13185,0,1.634,0.5,7.188,41.55,18.8
5,671,64.08%,99.41,-3,0.35227,0.16681,0,9.488,nan,8.741,32.15,18.5
6,671,64.08%,98.63,-13,0.49432,-0.1319,0,9.045,6.315,5.206,37.6,21.9
7,671,64.16%,94.48,-15,-0.74735,-0.49933,-1.96781,3.147,1.176,2.91,32.05,19.05
8,671,64.16%,83.07,-18,-1.30444,-1.2128,0,2.771,0.548,7.64,49.8,41.2
9,671,64.16%,92.36,-11,-0.12508,-0.19445,0,13.483,2.279,10.325,32.2,15.75
10,671,64.16%,88.03,-13,-0.88636,-0.72147,0,6.08,0.721,8.68,46.75,34.25
11,671,64.24%,96.53,-21,0.68798,-0.4256,0.86963,1.058,0.697,5.29,48.4,42.5
12,671,64.24%,94.69,-41,-0.77404,-1.22195,0,2.001,6.615,6.23,28.35,22.15
13,671,64.24%,97.26,-47,-0.03002,-0.51399,0,12.361,0.577,6.869,35.85,33.65
14,671,64.24%,90.88,-29,-0.77421,-1.19091,5.48002,6.3,0.724,7.827,42.45,16.1
15,671,64.32%,95.28,-20,0.30496,-0.66057,0,5.387,0.577,5.02,33.85,20.65
16,671,64.32%,92.49,-23,-0.2109,0.09411,0,2.512,0.626,5.002,27.7,15.75
17,671,64.32%,92.42,-16,-0.74502,-0.28808,0,4.21,0.821,8.191,28.65,21.1
18,671,64.32%,93.86,-47,0.0925,1.4884,-1.71903,1.53,0.548,4.779,29.7,8.6
19,671,64.4%,94.0,-35,-0.66887,-0.71198,0,2.198,4.058,6.727,23.65,17.05
20,671,64.4%,87.62,-40,-0.90982,-0.217,0,9.709,0.548,4.736,25.55,20.2
21,671,64.4%,90.81,-31,0.23413,0.25284,0,2.198,2.227,6.369,32.65,26.6
22,671,64.48%,92.73,-50,-0.43278,0.05487,-1.63424,2.665,0.601,12.883,30.45,17.15
23,671,64.48%,92.54,-21,-0.1983,-1.12617,0,7.37,0.673,3.916,29.5,9.3
24,671,64.48%,85.05,-59,-0.64835,-0.71776,0,0.953,0.577,6.887,32.65,11.7
25,671,64.48%,90.3,-57,-0.41081,-0.47013,0,12.418,1.567,9.852,24.2,18.55
26,671,64.56%,84.21,-41,-0.4155,-0.97613,7.57873,0.677,0.626,2.655,33.5,15.45
27,671,64.56%,91.18,-30,-0.82668,-0.48466,0,0.896,0.501,5.908,20.3,18.4
